track,rho_true,power,n_trials,n_background_nulls
cell,0.05,0.0,300,7341
cell,0.1,0.0,300,7341
cell,0.15,0.0,300,7341
cell,0.2,0.04666666666666667,300,7341
cell,0.25,0.17666666666666667,300,7341
cell,0.3,0.53,300,7341
cell,0.35,0.8666666666666667,300,7341
cell,0.4,0.98,300,7341
cell,0.45,1.0,300,7341
cell,0.5,1.0,300,7341
supernatant,0.05,0.0,300,7333
supernatant,0.1,0.0,300,7333
supernatant,0.15,0.006666666666666667,300,7333
supernatant,0.2,0.05333333333333334,300,7333
supernatant,0.25,0.24666666666666667,300,7333
supernatant,0.3,0.47,300,7333
supernatant,0.35,0.8366666666666667,300,7333
supernatant,0.4,0.9733333333333334,300,7333
supernatant,0.45,1.0,300,7333
supernatant,0.5,1.0,300,7333
