raw_position,row_id,observed_mz,observed_rt_min,compound,category,confidence,ppm_error_mz
11564,21315,565.4054,5.704949,torularhodin,carotenoid,high,2.46
6172,7727,451.317,5.714,ergosterol_peroxide,sterol,medium,2.81
7155,9250,377.1467,4.804126,riboflavin,flavin,medium,3.02
7515,9852,429.335,5.723,ergosterol_peroxide,sterol,medium,3.07
12767,27161,808.1438,1.409204,FAD,flavin,medium,3.17
11589,21414,457.1104,1.585694,FMN,flavin,medium,3.26
565,632,301.1404,5.054,asterina-330,maa,low,3.29
394,425,377.1442,1.556,riboflavin,flavin,medium,3.61
5566,6891,786.1614,1.409204,FAD,flavin,medium,3.83
10715,18068,429.3346,5.384,ergosterol_peroxide,sterol,medium,4.01
1600,1879,429.3345,5.149,ergosterol_peroxide,sterol,medium,4.24
9576,14554,429.3344,5.535452,ergosterol_peroxide,sterol,medium,4.47
15041,42268,360.149,0.533658,shinorine,maa,low,10.33
12635,26444,565.3975,6.364676,torularhodin,carotenoid,high,11.51
10729,18110,427.3878,5.149,lanosterol,sterol,medium,13.2
14367,37158,429.342,4.633034,ergosterol_peroxide,sterol,medium,13.23
9976,15710,399.3568,4.977628,episterol,sterol,medium,13.37
14042,35030,397.3411,4.782,ergosterol,sterol,high,13.56
16092,51152,385.341,4.743,zymosterol,sterol,medium,14.25
15964,50065,429.33,6.251222,ergosterol_peroxide,sterol,medium,14.72
14109,35469,545.499,7.278,phytoene,carotenoid,high,16.65
16004,50464,815.6559,6.423,hydroxy-torulene-C18:1(oleoyl)-ester,carotenoid,low,17.36
2901,3495,783.5905,6.145512,hydroxy-torulene-C14:0(myristoyl)-ester,carotenoid,low,18.57
561,627,761.6086,6.105451,hydroxy-torulene-C14:0(myristoyl)-ester,carotenoid,low,19.05
14364,37119,761.6086,6.29073,hydroxy-torulene-C14:0(myristoyl)-ester,carotenoid,low,19.05
4778,5839,554.4606,5.576,beta-carotene,carotenoid,high,20.61
7077,9125,559.4158,5.579,beta-carotene,carotenoid,high,20.77
13174,29524,537.4343,5.576,beta-carotene,carotenoid,high,20.8
6843,8743,787.6223,7.065745,hydroxy-torulene-C16:1(palmitoleoyl)-ester,carotenoid,low,20.9
15058,42405,761.6064,7.226695,hydroxy-torulene-C14:0(myristoyl)-ester,carotenoid,low,21.94
5716,7090,377.1555,1.855137,riboflavin,flavin,medium,26.36
5344,6585,377.1557,1.640335,riboflavin,flavin,medium,26.89
