raw_position,row_id,observed_mz,observed_adduct,observed_rt_min,has_ms2,compound,category,confidence,target_adduct,expected_mz,ppm_error_mz,parent_mass_ppm_error
4778,5839,554.4606,[M+NH3+H]1+,5.576,True,beta-carotene,carotenoid,high,[M+NH3+H]1+,554.47203,20.61,21.25
7077,9125,559.4158,[M+Na]1+,5.579,True,beta-carotene,carotenoid,high,[M+Na]1+,559.42742,20.77,21.25
13174,29524,537.4343,[M+H]1+,5.576,True,beta-carotene,carotenoid,high,[M+H]1+,537.44548,20.8,
4778,5839,554.4606,[M+NH3+H]1+,5.576,True,gamma-carotene,carotenoid,high,[M+NH3+H]1+,554.47203,20.61,21.25
7077,9125,559.4158,[M+Na]1+,5.579,True,gamma-carotene,carotenoid,high,[M+Na]1+,559.42742,20.77,21.25
13174,29524,537.4343,[M+H]1+,5.576,True,gamma-carotene,carotenoid,high,[M+H]1+,537.44548,20.8,
2901,3495,783.5905,[M+Na]1+,6.145512,True,hydroxy-torulene-C14:0(myristoyl)-ester,carotenoid,low,[M+Na]1+,783.60505,18.57,1338.3
561,627,761.6086,[M+H]1+,6.105451,True,hydroxy-torulene-C14:0(myristoyl)-ester,carotenoid,low,[M+H]1+,761.62311,19.05,1338.3
14364,37119,761.6086,[M+H]1+,6.29073,True,hydroxy-torulene-C14:0(myristoyl)-ester,carotenoid,low,[M+H]1+,761.62311,19.05,
15058,42405,761.6064,[M+H]1+,7.226695,True,hydroxy-torulene-C14:0(myristoyl)-ester,carotenoid,low,[M+H]1+,761.62311,21.94,
6843,8743,787.6223,[M+H]1+,7.065745,True,hydroxy-torulene-C16:1(palmitoleoyl)-ester,carotenoid,low,[M+H]1+,787.63876,20.9,
16004,50464,815.6559,[M+H]1+,6.423,True,hydroxy-torulene-C18:1(oleoyl)-ester,carotenoid,low,[M+H]1+,815.67006,17.36,
4778,5839,554.4606,[M+NH3+H]1+,5.576,True,lycopene,carotenoid,high,[M+NH3+H]1+,554.47203,20.61,21.25
7077,9125,559.4158,[M+Na]1+,5.579,True,lycopene,carotenoid,high,[M+Na]1+,559.42742,20.77,21.25
13174,29524,537.4343,[M+H]1+,5.576,True,lycopene,carotenoid,high,[M+H]1+,537.44548,20.8,
14109,35469,545.499,[M+H]1+,7.278,True,phytoene,carotenoid,high,[M+H]1+,545.50808,16.65,
11564,21315,565.4054,[M+H]1+,5.704949,True,torularhodin,carotenoid,high,[M+H]1+,565.40401,2.46,
12635,26444,565.3975,[M+H]1+,6.364676,True,torularhodin,carotenoid,high,[M+H]1+,565.40401,11.51,
12767,27161,808.1438,[M+Na]1+,1.409204,True,FAD,flavin,medium,[M+Na]1+,808.14636,3.17,3.87
5566,6891,786.1614,[M+H]1+,1.409204,True,FAD,flavin,medium,[M+H]1+,786.16441,3.83,3.87
11589,21414,457.1104,[M+H]1+,1.585694,True,FMN,flavin,medium,[M+H]1+,457.11189,3.26,
7155,9250,377.1467,[M+H]1+,4.804126,True,riboflavin,flavin,medium,[M+H]1+,377.14556,3.02,
394,425,377.1442,[M+H]1+,1.556,True,riboflavin,flavin,medium,[M+H]1+,377.14556,3.61,
5716,7090,377.1555,[M+H]1+,1.855137,True,riboflavin,flavin,medium,[M+H]1+,377.14556,26.36,
5344,6585,377.1557,[M+H]1+,1.640335,True,riboflavin,flavin,medium,[M+H]1+,377.14556,26.89,
565,632,301.1404,[M+H]1+,5.054,True,asterina-330,maa,low,[M+H]1+,301.13941,3.29,
15041,42268,360.149,[M+H]1+,0.533658,True,shinorine,maa,low,[M+H]1+,360.15272,10.33,
565,632,301.1404,[M+H]1+,5.054,True,usujirene,maa,low,[M+H]1+,301.13941,3.29,
9976,15710,399.3568,[M+H]1+,4.977628,True,episterol,sterol,medium,[M+H]1+,399.36214,13.37,
14042,35030,397.3411,[M+H]1+,4.782,True,ergosterol,sterol,high,[M+H]1+,397.34649,13.56,
6172,7727,451.317,[M+Na]1+,5.714,True,ergosterol_peroxide,sterol,medium,[M+Na]1+,451.31827,2.81,3.15
7515,9852,429.335,[M+H]1+,5.723,True,ergosterol_peroxide,sterol,medium,[M+H]1+,429.33632,3.07,3.15
10715,18068,429.3346,[M+H]1+,5.384,True,ergosterol_peroxide,sterol,medium,[M+H]1+,429.33632,4.01,
1600,1879,429.3345,[M+H]1+,5.149,True,ergosterol_peroxide,sterol,medium,[M+H]1+,429.33632,4.24,4.32
9576,14554,429.3344,[M+H]1+,5.535452,True,ergosterol_peroxide,sterol,medium,[M+H]1+,429.33632,4.47,
14367,37158,429.342,[M+H]1+,4.633034,True,ergosterol_peroxide,sterol,medium,[M+H]1+,429.33632,13.23,
15964,50065,429.33,[M+H]1+,6.251222,True,ergosterol_peroxide,sterol,medium,[M+H]1+,429.33632,14.72,
10729,18110,427.3878,[M+H]1+,5.149,True,lanosterol,sterol,medium,[M+H]1+,427.39344,13.2,
16092,51152,385.341,[M+H]1+,4.743,True,zymosterol,sterol,medium,[M+H]1+,385.34649,14.25,
