formulaRank	molecularFormula	adduct	precursorFormula	ZodiacScore	SiriusScoreNormalized	SiriusScore	TreeScore	IsotopeScore	numExplainedPeaks	explainedIntensity	medianMassErrorFragmentPeaks(ppm)	medianAbsoluteMassErrorFragmentPeaks(ppm)	massErrorPrecursor(ppm)	lipidClass	ionMass	retentionTimeInSeconds	retentionTimeInMinutes	formulaId	alignedFeatureId	compoundId	mappingFeatureId	overallFeatureQuality
1	C33H46O6	[M + Na]+	C33H46NaO6+		1.000	98.279	98.279	0.000	26	0.397	-4.246	5.997	-3.363	TG(10:3_8:0_12:5)	561.317	33	0.558	875205263853861715	875205244392290952	875205244392290951	3760	
1	C15H21N7O4	[M + H]+	C15H22N7O4+		0.841	203.197	203.197	0.000	45	0.927	-1.651	2.013	15.870		364.179	37	0.618	875206937939000443	875205244488759952	875205244488759951	13854	
1	C26H37N7O9	[M + H]+	C26H38N7O9+		0.990	195.589	195.589	0.000	55	0.974	-1.354	1.930	-2.283		592.271	46	0.775	875205870526381003	875205243003976228	875205242999781923	1159	
1	C5H7Br4NO3	[M + H]+	C5H8Br4NO3+		1.000	20.119	20.119	0.000	6	0.152	-2.467	2.467	5.860		445.726	54	0.896	875205263518317391	875205244543285908	875205244543285907	4629	
1	C33H46N6O8	[M + H]+	C33H47N6O8+		0.998	155.036	155.036	0.000	48	0.958	-1.209	1.921	-8.743		655.339	57	0.958	875205368929565524	875205243293383224	875205243289188919	1448	
1	C29H48N8O10	[M + H]+	C29H49N8O10+		0.996	214.807	214.807	0.000	57	0.994	-1.921	1.928	-2.404		669.355	59	0.977	875205848904743863	875205243536652872	875205243532458567	1944	
1	C35H54N8O9	[M + H]+	C35H55N8O9+		0.629	149.945	149.945	0.000	48	0.948	-1.209	1.783	-3.284		731.406	61	1.015	875205703395949436	875205243658287696	875205243658287695	1365	
1	C27H45N7O9	[M + H]+	C27H46N7O9+		0.612	148.374	148.374	0.000	52	0.918	-1.095	1.864	-2.958		612.333	62	1.025	875206687115426908	875205242244807160	875205242244807159	395	
1	C23H45N7O9	[M + Na]+	C23H45N7NaO9+		0.933	132.060	132.060	0.000	38	0.962	-0.839	1.797	1.425		586.318	65	1.076	875205781372255141	875205242173503988	875205242169309683	401	
1	C28H46N8O10	[M + H]+	C28H47N8O10+		0.688	159.327	159.327	0.000	50	0.962	-0.873	1.626	-2.532		655.339	68	1.134	875205915824864213	875205243410823744	875205243406629439	924	
1	C26H47N7O9	[M + H]+	C26H48N7O9+		0.985	192.379	192.379	0.000	54	0.987	-2.780	2.791	-4.209		602.348	69	1.149	875205538836626290	875205242869758492	875205242861369883	2128	
1	C38H48N4O7	[M + H]+	C38H49N4O7+		0.938	132.595	132.595	0.000	48	0.948	0.184	2.114	-14.621		673.350	71	1.177	875205506020391784	875205242534214152	875205242530019847	620	
1	C16H27N5O6	[M + H]+	C16H28N5O6+		0.992	193.758	193.758	0.000	55	0.980	-1.300	2.074	2.343		386.204	72	1.201	875206058632526867	875205243352103484	875205243347909179	1038	
1	C4H2Cl8S2	[M + H]+	C4H3Cl8S2+		0.461	-1.219	-1.219	0.000	0	0.000			-1.018		394.717	74	1.231	875205722048019345	875205242462910980	875205242458716675	39495	
1	C30H49BN4O8	[M + Na]+	C30H49BN4NaO8+		0.569	112.456	112.456	0.000	46	0.963	-1.377	1.579	-13.478		626.349	77	1.280	875206016265862152	875205243180137008	875205243180137007	1211	
1	C9H17NO4	[M + H]+	C9H18NO4+		0.953	32.366	32.366	0.000	8	0.979	2.172	2.791	4.534		204.124	78	1.299	875205705845422983	875205243918334564	875205243918334563	9317	
1	C15H29N3O6	[M + Na]+	C15H29N3NaO6+		0.848	131.217	131.217	0.000	49	0.917	-2.219	4.234	-10.225		370.191	79	1.313	875206740064320614	875205243712813652	875205243712813651	3299	
1	C15H22N2O3	[M + H]+	C15H23N2O3+		0.999	35.224	35.224	0.000	6	1.000	-2.096	2.096	-1.913		279.170	81	1.354	875206001799707635	875205241091373520	875205241066207695	3663	
1	C32H47N5O7	[M + H]+	C32H48N5O7+		0.996	194.955	194.955	0.000	53	0.990	-0.786	1.841	-9.881		614.349	82	1.373	875206238727552061	875205241770850784	875205241766656479	182	
1	C10H24N4O5Se3	[M + Na]+	C10H24N4NaO5Se3+		1.000	89.277	89.277	0.000	44	0.875	0.172	4.572	-13.198		524.924	89	1.482	875205764699896731	875205243125611052	875205243121416747	8025	
1	C33H53FN10O7	[M + Na]+	C33H53FN10NaO7+		0.845	142.053	142.053	0.000	50	0.856	1.589	2.334	-8.484		743.391	94	1.565	875206001883593726	875205241942817256	875205241942817255	164	
1	C6H2Br2IN	[M + K]+	C6H2Br2IKN+		1.000	-2.219	-2.219	0.000	0	0.000			-14.742		411.717	96	1.607	875206059186175005	875205243771533912	875205243767339607	34500	
1	C21H40N8O7	[M + Na]+	C21H40N8NaO7+		0.516	137.670	137.670	0.000	43	0.894	-0.473	1.697	-1.740		539.290	97	1.612	875206892778929264	875205243062696488	875205243062696487	1930	
1	C18H35N3O4	[M + H]+	C18H36N3O4+		1.000	68.318	68.318	0.000	14	0.989	-1.681	1.681	-2.283		358.269	111	1.858	875205373199367006	875205241686964700	875205241682770395	1589	
1	C41H52N6O9	[M + H]+	C41H53N6O9+		0.997	179.228	179.228	0.000	53	0.983	-1.591	1.803	-8.067		773.381	115	1.921	875206406440991815	875205242098006512	875205242098006511	345	
1	C8H9Br4NO2	[M + H]+	C8H10Br4NO2+		1.000	71.321	71.321	0.000	17	0.333	-1.120	1.636	4.707		467.746	117	1.947	875205784568314799	875205244190964344	875205244190964343	8119	
1	C39H59N5O7S2	[M + H]+	C39H60N5O7S2+		0.978	148.090	148.090	0.000	51	0.961	-1.293	1.975	-10.698		774.385	119	1.975	875205995642469343	875205242727152148	875205242727152147	848	
1	C41H63N9O5	[M + K]+	C41H63KN9O5+		0.395	114.500	114.500	0.000	45	0.930	0.937	2.423	7.930		800.465	123	2.048	875206469284248657	875205241418529236	875205241410140627	14095	
1	C40H59N9O14	[M + H]+	C40H60N9O14+		0.399	96.197	96.197	0.000	53	0.948	0.205	2.502	-14.131		890.413	142	2.359	875205864721464257	875205242794261016	875205242790066711	1262	
1	C29H36FN3O5	[M + H]+	C29H37FN3O5+		0.567	151.239	151.239	0.000	45	0.954	-4.376	4.921	6.037		526.274	146	2.436	875206086394625054	875205243868002912	875205243868002911	5872	
1	C33H57N7O8	[M + H]+	C33H58N7O8+		1.000	169.385	169.385	0.000	49	0.945	-2.203	2.386	-3.222		680.432	149	2.487	875205999039855593	875205244966910648	875205244966910647	6752	
1	C14H24N6O7	[M + H]+	C14H25N6O7+		0.880	24.155	24.155	0.000	14	0.873	-0.338	0.598	-3.172		389.177	181	3.023	875206096188324905	875205246200036124	875205246195841819	21889	
1	C16H25N3O2	[M + H]+	C16H26N3O2+		0.790	86.638	86.638	0.000	32	0.967	-1.659	2.225	-2.952		292.201	182	3.036	875206109467491379	875205242597128716	875205242597128715	5121	
1	C35H41N5O8	[M + H]+	C35H42N5O8+		0.810	62.990	62.990	0.000	24	0.859	-0.186	1.347	-1.378		660.302	216	3.607	875207462268943528	875205245621222124	875205245621222123	19967	
1	C18H39N5O10	[M + H]+	C18H40N5O10+		0.820	49.256	49.256	0.000	16	0.876	-0.399	3.672	8.518		486.281	217	3.624	875207463040695474	875205245432478428	875205245432478427	4642	
1	C16H23N5O4S	[M + H]+	C16H24N5O4S+		0.679	42.533	42.533	0.000	18	0.997	-3.058	3.058	-4.181		382.153	222	3.698	875207275806964873	875205246212619044	875205246212619043	20766	
1	C24H39N3O9	[M + H]+	C24H40N3O9+		0.892	129.206	129.206	0.000	39	0.953	1.749	4.419	12.172		514.282	228	3.793	875207458787671198	875205245067573952	875205245063379647	3287	
1	C16H28N6O7	[M + H]+	C16H29N6O7+		1.000	130.275	130.275	0.000	37	0.925	-1.374	1.611	-2.224		417.208	233	3.882	875207355234499732	875205245289872080	875205245289872079	7038	
1	C20H38N6O7	[M + H]+	C20H39N6O7+		0.984	27.995	27.995	0.000	11	0.491	-2.073	2.073	-2.950		475.286	233	3.890	875207502295186622	875205246208424736	875205246204230431	15416	
1	C26H35NO3	[M + H]+	C26H36NO3+		1.000	211.335	211.335	0.000	52	0.940	-1.111	1.338	-2.714		410.268	234	3.905	875207736509316332	875205246099372820	875205246095178515	11328	
1	C11H24N2O6	[M + H]+	C11H25N2O6+		0.852	43.063	43.063	0.000	10	0.554	2.397	3.733	1.963		281.171	238	3.967	875207579055144150	875205243968666216	875205243964471911	9974	
1	C16H16	[M + H]+	C16H17+		1.000	52.946	52.946	0.000	18	0.959	-1.495	1.979	-2.773		209.132	241	4.016	875207576387566796	875205243821865564	875205243817671259	2132	
1	C16H18O	[M + H]+	C16H19O+		1.000	218.683	218.683	0.000	54	0.963	-1.156	1.358	-1.839		227.143	241	4.016	875207591482866913	875205244643949212	875205244643949211	2706	
1	C17H20	[M + H]+	C17H21+		1.000	100.841	100.841	0.000	27	0.964	-1.944	1.976	-3.274		225.163	243	4.044	875207746927967478	875205245520558820	875205245520558819	7265	
1	C60H75N5O5	[M + K]+	C60H75KN5O5+		0.533	67.028	67.028	0.000	26	0.909	1.714	2.059	-7.650		984.532	243	4.052	875208230090831677	875205245856103168	875205245851908863	7461	
1	C23H43NO6	[M + Na]+	C23H43NNaO6+		0.642	31.723	31.723	0.000	17	0.841	-2.397	3.507	-3.462		452.297	243	4.052	875207859347898841	875205246049041168	875205246044846863	14446	
1	C21H37N5O9	[M + H]+	C21H38N5O9+		0.995	64.597	64.597	0.000	15	0.767	-3.390	3.390	7.472		504.270	244	4.061	875207898451395285	875205245902240516	875205245898046211	8322	
1	C15H13N3O3	[M + H]+	C15H14N3O3+		0.601	49.932	49.932	0.000	8	1.000	-1.326	1.326	-2.431		284.102	246	4.105	875207887479095868	875205244690086560	875205244690086559	2826	
1	C24H35N5O10	[M + H]+	C24H36N5O10+		0.916	58.283	58.283	0.000	11	0.835	-0.972	1.810	-3.749		554.244	248	4.130	875207922816119930	875205245759634168	875205245759634167	8685	
1	C12H18O	[M + H]+	C12H19O+		1.000	206.455	206.455	0.000	38	0.987	-2.028	2.112	-3.269		179.142	255	4.243	875207895385359016	875205244736223908	875205244732029603	10991	
1	C12H16	[M + H]+	C12H17+		1.000	86.721	86.721	0.000	19	0.987	-1.951	1.977	-2.917		161.132	255	4.252	875207900837954900	875205245386341080	875205245386341079	20252	
1	C10H18N3O	[M + H]+	C10H19N3O+		0.876	124.014	124.014	0.000	29	0.922	-2.132	2.664	3.659		197.153	255	4.255	875207907917951209	875205245998709516	875205245994515211	29958	
1	C27H38N4O7	[M + H]+	C27H39N4O7+		0.391	31.591	31.591	0.000	14	0.867	-3.079	3.150	-11.171		531.275	256	4.264	875207936405664905	875205244920773300	875205244916578995	8116	
1	C14H22	[M + H]+	C14H23+		1.000	135.506	135.506	0.000	26	0.990	-2.450	2.450	-4.306		191.179	275	4.577	875207924145714308	875205245122099908	875205245122099907	18557	
1	C14H24N6O2	[M + H]+	C14H25N6O2+		0.993	42.083	42.083	0.000	8	0.384	-3.773	3.773	-2.446		309.203	276	4.597	875207910002520312	875205244828498604	875205244824304299	11016	
1	C23H31N3O5	[M + H]+	C23H32N3O5+		0.998	91.884	91.884	0.000	35	0.921	-4.232	4.232	-3.983		430.232	276	4.600	875207969104458915	875205244442622604	875205244438428299	14034	
1	C26H43NO6S	[M + H]+	C26H44NO6S+		1.000	169.949	169.949	0.000	39	0.926	-0.414	1.860	-2.626		498.287	278	4.627	875207987873969335	875205245235346124	875205245231151819	4434	
1	C26H46O12	[M + Na]+	C26H46NaO12+		0.822	32.694	32.694	0.000	14	0.882	-3.142	3.142	-3.778		573.286	278	4.632	875207974905181357	875205244245490300	875205244241295995	1865	
1	C20H34N6O8	[M + H]+	C20H35N6O8+		0.985	42.722	42.722	0.000	15	0.758	-3.855	4.142	-3.049		487.250	285	4.753	875207919951410288	875205244782361256	875205244778166951	3994	
1	C28H48O13	[M + Na]+	C28H48NaO13+		0.963	78.179	78.179	0.000	25	0.876	-2.354	2.588	-4.130		615.296	286	4.758	875208117402465956	875205244018997868	875205244014803563	1703	
1	C26H48O11	[M + Na]+	C26H48NaO11+		0.982	50.829	50.829	0.000	10	0.856	-1.960	2.045	-3.478		559.307	286	4.762	875207997889967308	875205242387413504	875205242383219199	1178	
