raw_position,sources
9,copper_cell
36,color_phenotype
60,color_phenotype;copper_cell
227,copper_supernatant
394,broad_pathway_search
488,color_phenotype;copper_cell
561,broad_pathway_search
565,broad_pathway_search
594,color_phenotype
703,copper_supernatant
774,copper_supernatant
852,copper_cell
876,copper_cell
1010,copper_cell
1505,copper_supernatant
1584,copper_supernatant
1600,broad_pathway_search
1805,copper_supernatant
1824,copper_supernatant
1903,copper_cell
1922,color_phenotype
2001,copper_supernatant
2006,copper_supernatant
2049,copper_supernatant
2078,color_phenotype
2167,copper_supernatant
2246,copper_supernatant
2247,copper_supernatant
2280,copper_cell
2286,color_phenotype
2316,copper_cell
2471,copper_supernatant
2511,color_phenotype
2539,copper_cell
2637,color_phenotype
2720,color_phenotype
2742,color_phenotype
2749,copper_supernatant
2775,copper_supernatant
2807,copper_supernatant
2826,color_phenotype;copper_supernatant
2846,copper_supernatant
2852,copper_cell
2876,color_phenotype
2883,color_phenotype
2901,broad_pathway_search
3013,color_phenotype
3066,copper_supernatant
3117,copper_cell
3201,copper_supernatant
3316,copper_supernatant
3335,copper_cell
3341,copper_supernatant
3365,copper_supernatant
3460,copper_supernatant
3534,copper_supernatant
3722,color_phenotype
3732,copper_supernatant
3763,copper_cell
3786,copper_cell
3815,copper_cell
3885,copper_cell
3894,copper_supernatant
3912,copper_cell
3978,copper_cell
4051,copper_cell
4055,copper_supernatant
4186,copper_cell
4204,copper_cell
4268,copper_cell
4327,copper_cell
4374,copper_cell
4450,copper_cell
4586,color_phenotype;copper_cell
4589,copper_supernatant
4675,copper_cell
4716,color_phenotype
4758,color_phenotype
4777,copper_cell
4778,broad_pathway_search
4822,color_phenotype
4930,color_phenotype
5026,color_phenotype;copper_cell
5106,color_phenotype
5116,color_phenotype
5194,copper_supernatant
5208,copper_supernatant
5249,color_phenotype
5331,color_phenotype;copper_supernatant
5335,copper_supernatant
5344,broad_pathway_search
5392,color_phenotype
5409,color_phenotype
5515,color_phenotype
5524,copper_cell
5566,broad_pathway_search
5587,copper_cell
5624,copper_supernatant
5654,copper_cell
5687,color_phenotype
5699,color_phenotype
5716,broad_pathway_search
5747,copper_supernatant
5763,color_phenotype
5795,copper_cell
5799,color_phenotype
5857,color_phenotype
5888,copper_cell
5979,copper_cell
5995,copper_cell
6065,color_phenotype
6150,color_phenotype
6172,broad_pathway_search
6180,copper_supernatant
6194,copper_cell
6195,copper_supernatant
6196,color_phenotype
6262,copper_cell
6407,copper_cell
6543,color_phenotype
6569,color_phenotype
6576,copper_supernatant
6641,copper_supernatant
6644,copper_supernatant
6646,color_phenotype
6843,broad_pathway_search
6852,color_phenotype
6882,copper_supernatant
6945,copper_cell
7036,copper_cell
7037,color_phenotype
7073,copper_cell
7077,broad_pathway_search
7155,broad_pathway_search
7263,color_phenotype
7264,color_phenotype
7299,copper_supernatant
7364,copper_cell
7490,copper_supernatant
7515,broad_pathway_search
7521,copper_cell
7590,color_phenotype
7600,copper_supernatant
7617,copper_cell
7697,color_phenotype
7699,copper_supernatant
7771,copper_supernatant
7779,copper_cell
7787,copper_cell
7795,copper_supernatant
7801,color_phenotype
7899,copper_cell
7944,copper_cell
8009,color_phenotype
8144,copper_cell
8161,copper_cell
8242,color_phenotype
8246,copper_cell
8321,copper_cell
8350,color_phenotype
8364,copper_cell
8368,copper_cell
8635,copper_supernatant
8650,copper_supernatant
8683,copper_cell
8807,color_phenotype
8839,color_phenotype
8957,copper_supernatant
9038,copper_cell
9049,copper_cell
9121,copper_cell
9239,color_phenotype
9252,copper_cell
9266,color_phenotype
9324,color_phenotype
9348,color_phenotype
9464,copper_cell
9576,broad_pathway_search
9765,copper_cell
9802,color_phenotype
9834,copper_supernatant
9839,copper_cell
9892,copper_supernatant
9976,broad_pathway_search
10007,copper_supernatant
10052,copper_cell
10067,copper_cell
10129,copper_cell
10604,copper_supernatant
10701,color_phenotype
10715,broad_pathway_search
10729,broad_pathway_search
10889,copper_cell
10928,copper_supernatant
11018,copper_supernatant
11225,copper_supernatant
11375,color_phenotype
11398,copper_cell
11497,color_phenotype
11506,color_phenotype
11523,copper_supernatant
11564,broad_pathway_search
11589,broad_pathway_search
11661,color_phenotype;copper_cell
11857,copper_cell
11995,color_phenotype
12243,color_phenotype
12362,color_phenotype;copper_supernatant
12635,broad_pathway_search
12718,copper_cell
12756,copper_supernatant
12764,color_phenotype
12767,broad_pathway_search
12808,color_phenotype
12915,copper_cell
12958,color_phenotype
12960,color_phenotype
12969,copper_cell
13174,broad_pathway_search
13193,copper_supernatant
13211,color_phenotype
13230,copper_supernatant
13233,copper_supernatant
13258,copper_supernatant
13326,copper_cell
13373,copper_supernatant
13448,color_phenotype
13488,color_phenotype
13677,color_phenotype
13871,color_phenotype
13900,color_phenotype
13919,copper_supernatant
14042,broad_pathway_search
14051,copper_supernatant
14071,copper_supernatant
14086,copper_supernatant
14109,broad_pathway_search
14189,copper_cell
14260,copper_supernatant
14364,broad_pathway_search
14367,broad_pathway_search
14491,copper_supernatant
14687,copper_cell
15041,broad_pathway_search
15058,broad_pathway_search
15075,copper_supernatant
15121,copper_cell
15130,copper_supernatant
15279,color_phenotype
15320,color_phenotype
15396,copper_supernatant
15403,copper_cell;copper_supernatant
15695,copper_supernatant
15811,color_phenotype
15964,broad_pathway_search
15984,copper_supernatant
16004,broad_pathway_search
16090,copper_supernatant
16092,broad_pathway_search
16156,color_phenotype
16167,copper_cell
16195,color_phenotype
16214,copper_supernatant
