feature_index,row_id,status,mzml_path,n_candidate_spectra,chosen_scan_id,chosen_tic,rt_window_widened
9,10,exported,/bigdata/stajichlab/shared/projects/Rhodotorula/Rhodotorula_Metabolites/mzML/C_46.mzML,2,controllerType=0 controllerNumber=1 scan=2987,86802975.203125,False
36,37,no_ms2_match,/bigdata/stajichlab/shared/projects/Rhodotorula/Rhodotorula_Metabolites/ExFab_Supernatant/SUP_1.mzML,0,,,True
60,61,exported,/bigdata/stajichlab/shared/projects/Rhodotorula/Rhodotorula_Metabolites/mzML/C_46.mzML,1,controllerType=0 controllerNumber=1 scan=3190,3675777.2416992188,True
227,241,no_ms2_match,/bigdata/stajichlab/shared/projects/Rhodotorula/Rhodotorula_Metabolites/ExFab_Supernatant/SUP_71.mzML,0,,,True
394,425,exported,/bigdata/stajichlab/shared/projects/Rhodotorula/Rhodotorula_Metabolites/ExFab_Supernatant/SUP_322.mzML,2,controllerType=0 controllerNumber=1 scan=785,32895930.204101562,False
488,541,no_ms2_match,/bigdata/stajichlab/shared/projects/Rhodotorula/Rhodotorula_Metabolites/mzML/C_46.mzML,0,,,True
561,627,exported,/bigdata/stajichlab/shared/projects/Rhodotorula/Rhodotorula_Metabolites/mzML/C_321.mzML,1,controllerType=0 controllerNumber=1 scan=3437,1409417.1032714844,False
565,632,exported,/bigdata/stajichlab/shared/projects/Rhodotorula/Rhodotorula_Metabolites/ExFab_Supernatant/SUP_3.mzML,1,controllerType=0 controllerNumber=1 scan=3103,2052606.7197265625,False
594,669,exported,/bigdata/stajichlab/shared/projects/Rhodotorula/Rhodotorula_Metabolites/mzML/C_111.mzML,2,controllerType=0 controllerNumber=1 scan=3543,7445328.82421875,False
703,795,exported,/bigdata/stajichlab/shared/projects/Rhodotorula/Rhodotorula_Metabolites/mzML/C_259.mzML,1,controllerType=0 controllerNumber=1 scan=2902,1754406.9599609375,False
774,881,exported,/bigdata/stajichlab/shared/projects/Rhodotorula/Rhodotorula_Metabolites/mzML/C_287.mzML,1,controllerType=0 controllerNumber=1 scan=2310,3308398.5888671875,False
