feature_index,row_id,mz,rt_min,charge,adduct,adduct_rep_file,rep_file_source,mzml_path,has_ms2
9,10,522.353300,5.047000,1,[M+H]1+,C_46.mzML,mzmine_adduct_rep_file,/bigdata/stajichlab/shared/projects/Rhodotorula/Rhodotorula_Metabolites/mzML/C_46.mzML,true
36,37,278.190400,3.245654,1,[M+H]1+,SUP_1.mzML,max_peak_area_fallback,/bigdata/stajichlab/shared/projects/Rhodotorula/Rhodotorula_Metabolites/ExFab_Supernatant/SUP_1.mzML,true
60,61,523.356700,5.047000,1,[M+H]1+,C_46.mzML,mzmine_adduct_rep_file,/bigdata/stajichlab/shared/projects/Rhodotorula/Rhodotorula_Metabolites/mzML/C_46.mzML,true
227,241,191.085100,3.160846,1,[M+H]1+,SUP_71.mzML,max_peak_area_fallback,/bigdata/stajichlab/shared/projects/Rhodotorula/Rhodotorula_Metabolites/ExFab_Supernatant/SUP_71.mzML,true
394,425,377.144200,1.556000,1,[M+H]1+,SUP_322.mzML,max_peak_area_fallback,/bigdata/stajichlab/shared/projects/Rhodotorula/Rhodotorula_Metabolites/ExFab_Supernatant/SUP_322.mzML,true
488,541,524.359600,5.047000,1,[M+H]1+,C_46.mzML,mzmine_adduct_rep_file,/bigdata/stajichlab/shared/projects/Rhodotorula/Rhodotorula_Metabolites/mzML/C_46.mzML,true
561,627,761.608600,6.105451,1,[M+H]1+,C_321.mzML,mzmine_adduct_rep_file,/bigdata/stajichlab/shared/projects/Rhodotorula/Rhodotorula_Metabolites/mzML/C_321.mzML,true
565,632,301.140400,5.054000,1,[M+H]1+,SUP_3.mzML,max_peak_area_fallback,/bigdata/stajichlab/shared/projects/Rhodotorula/Rhodotorula_Metabolites/ExFab_Supernatant/SUP_3.mzML,true
594,669,523.322100,6.035339,1,[M+H]1+,C_111.mzML,max_peak_area_fallback,/bigdata/stajichlab/shared/projects/Rhodotorula/Rhodotorula_Metabolites/mzML/C_111.mzML,true
703,795,812.539800,5.193000,1,[M+H]1+,C_259.mzML,mzmine_adduct_rep_file,/bigdata/stajichlab/shared/projects/Rhodotorula/Rhodotorula_Metabolites/mzML/C_259.mzML,true
774,881,453.173700,4.323244,1,[M+H]1+,C_287.mzML,mzmine_adduct_rep_file,/bigdata/stajichlab/shared/projects/Rhodotorula/Rhodotorula_Metabolites/mzML/C_287.mzML,true
852,980,336.190800,1.561362,1,[M+H]1+,SUP_236.mzML,mzmine_adduct_rep_file,/bigdata/stajichlab/shared/projects/Rhodotorula/Rhodotorula_Metabolites/ExFab_Supernatant/SUP_236.mzML,true
876,1008,545.272400,1.188305,2,[M+2H]2+,SUP_46.mzML,max_peak_area_fallback,/bigdata/stajichlab/shared/projects/Rhodotorula/Rhodotorula_Metabolites/ExFab_Supernatant/SUP_46.mzML,true
