compound,formula,monoisotopic_mass,category,pathway_step,confidence,adduct,charge,expected_mz,notes
phytoene,C40H64,544.5008,carotenoid,PSY product (step 1),high,[M+H]1+,1,545.50808,
phytoene,C40H64,544.5008,carotenoid,PSY product (step 1),high,[M+Na]1+,1,567.49002,
phytoene,C40H64,544.5008,carotenoid,PSY product (step 1),high,[M+K]1+,1,583.46396,
phytoene,C40H64,544.5008,carotenoid,PSY product (step 1),high,[M+2H]2+,2,273.25768,
phytoene,C40H64,544.5008,carotenoid,PSY product (step 1),high,[M+3H]3+,3,182.50754,
phytoene,C40H64,544.5008,carotenoid,PSY product (step 1),high,[M-H2O+H]1+,1,527.49751,
phytoene,C40H64,544.5008,carotenoid,PSY product (step 1),high,[M+NH3+H]1+,1,562.53463,
phytoene,C40H64,544.5008,carotenoid,PSY product (step 1),high,[M+ACN+H]1+,1,586.53463,
phytofluene,C40H62,542.48515,carotenoid,desaturation step 2,high,[M+H]1+,1,543.49243,
phytofluene,C40H62,542.48515,carotenoid,desaturation step 2,high,[M+Na]1+,1,565.47437,
phytofluene,C40H62,542.48515,carotenoid,desaturation step 2,high,[M+K]1+,1,581.44831,
phytofluene,C40H62,542.48515,carotenoid,desaturation step 2,high,[M+2H]2+,2,272.24985,
phytofluene,C40H62,542.48515,carotenoid,desaturation step 2,high,[M+3H]3+,3,181.83566,
phytofluene,C40H62,542.48515,carotenoid,desaturation step 2,high,[M-H2O+H]1+,1,525.48186,
phytofluene,C40H62,542.48515,carotenoid,desaturation step 2,high,[M+NH3+H]1+,1,560.51898,
phytofluene,C40H62,542.48515,carotenoid,desaturation step 2,high,[M+ACN+H]1+,1,584.51898,
zeta-carotene,C40H60,540.4695,carotenoid,desaturation step 3,high,[M+H]1+,1,541.47678,
zeta-carotene,C40H60,540.4695,carotenoid,desaturation step 3,high,[M+Na]1+,1,563.45872,
zeta-carotene,C40H60,540.4695,carotenoid,desaturation step 3,high,[M+K]1+,1,579.43266,
zeta-carotene,C40H60,540.4695,carotenoid,desaturation step 3,high,[M+2H]2+,2,271.24203,
zeta-carotene,C40H60,540.4695,carotenoid,desaturation step 3,high,[M+3H]3+,3,181.16378,
zeta-carotene,C40H60,540.4695,carotenoid,desaturation step 3,high,[M-H2O+H]1+,1,523.46621,
zeta-carotene,C40H60,540.4695,carotenoid,desaturation step 3,high,[M+NH3+H]1+,1,558.50333,
zeta-carotene,C40H60,540.4695,carotenoid,desaturation step 3,high,[M+ACN+H]1+,1,582.50333,
neurosporene,C40H58,538.45385,carotenoid,desaturation step 4,high,[M+H]1+,1,539.46113,
neurosporene,C40H58,538.45385,carotenoid,desaturation step 4,high,[M+Na]1+,1,561.44307,
neurosporene,C40H58,538.45385,carotenoid,desaturation step 4,high,[M+K]1+,1,577.41701,
neurosporene,C40H58,538.45385,carotenoid,desaturation step 4,high,[M+2H]2+,2,270.2342,
neurosporene,C40H58,538.45385,carotenoid,desaturation step 4,high,[M+3H]3+,3,180.49189,
neurosporene,C40H58,538.45385,carotenoid,desaturation step 4,high,[M-H2O+H]1+,1,521.45056,
neurosporene,C40H58,538.45385,carotenoid,desaturation step 4,high,[M+NH3+H]1+,1,556.48768,
neurosporene,C40H58,538.45385,carotenoid,desaturation step 4,high,[M+ACN+H]1+,1,580.48768,
lycopene,C40H56,536.4382,carotenoid,desaturation step 5 (linear),high,[M+H]1+,1,537.44548,isomeric with gamma-/beta-carotene
lycopene,C40H56,536.4382,carotenoid,desaturation step 5 (linear),high,[M+Na]1+,1,559.42742,isomeric with gamma-/beta-carotene
lycopene,C40H56,536.4382,carotenoid,desaturation step 5 (linear),high,[M+K]1+,1,575.40136,isomeric with gamma-/beta-carotene
lycopene,C40H56,536.4382,carotenoid,desaturation step 5 (linear),high,[M+2H]2+,2,269.22638,isomeric with gamma-/beta-carotene
lycopene,C40H56,536.4382,carotenoid,desaturation step 5 (linear),high,[M+3H]3+,3,179.82001,isomeric with gamma-/beta-carotene
lycopene,C40H56,536.4382,carotenoid,desaturation step 5 (linear),high,[M-H2O+H]1+,1,519.43491,isomeric with gamma-/beta-carotene
lycopene,C40H56,536.4382,carotenoid,desaturation step 5 (linear),high,[M+NH3+H]1+,1,554.47203,isomeric with gamma-/beta-carotene
lycopene,C40H56,536.4382,carotenoid,desaturation step 5 (linear),high,[M+ACN+H]1+,1,578.47203,isomeric with gamma-/beta-carotene
gamma-carotene,C40H56,536.4382,carotenoid,monocyclization,high,[M+H]1+,1,537.44548,isomeric with lycopene/beta-carotene
gamma-carotene,C40H56,536.4382,carotenoid,monocyclization,high,[M+Na]1+,1,559.42742,isomeric with lycopene/beta-carotene
gamma-carotene,C40H56,536.4382,carotenoid,monocyclization,high,[M+K]1+,1,575.40136,isomeric with lycopene/beta-carotene
gamma-carotene,C40H56,536.4382,carotenoid,monocyclization,high,[M+2H]2+,2,269.22638,isomeric with lycopene/beta-carotene
gamma-carotene,C40H56,536.4382,carotenoid,monocyclization,high,[M+3H]3+,3,179.82001,isomeric with lycopene/beta-carotene
gamma-carotene,C40H56,536.4382,carotenoid,monocyclization,high,[M-H2O+H]1+,1,519.43491,isomeric with lycopene/beta-carotene
gamma-carotene,C40H56,536.4382,carotenoid,monocyclization,high,[M+NH3+H]1+,1,554.47203,isomeric with lycopene/beta-carotene
gamma-carotene,C40H56,536.4382,carotenoid,monocyclization,high,[M+ACN+H]1+,1,578.47203,isomeric with lycopene/beta-carotene
beta-carotene,C40H56,536.4382,carotenoid,bicyclization,high,[M+H]1+,1,537.44548,isomeric with lycopene/gamma-carotene
beta-carotene,C40H56,536.4382,carotenoid,bicyclization,high,[M+Na]1+,1,559.42742,isomeric with lycopene/gamma-carotene
beta-carotene,C40H56,536.4382,carotenoid,bicyclization,high,[M+K]1+,1,575.40136,isomeric with lycopene/gamma-carotene
beta-carotene,C40H56,536.4382,carotenoid,bicyclization,high,[M+2H]2+,2,269.22638,isomeric with lycopene/gamma-carotene
beta-carotene,C40H56,536.4382,carotenoid,bicyclization,high,[M+3H]3+,3,179.82001,isomeric with lycopene/gamma-carotene
beta-carotene,C40H56,536.4382,carotenoid,bicyclization,high,[M-H2O+H]1+,1,519.43491,isomeric with lycopene/gamma-carotene
beta-carotene,C40H56,536.4382,carotenoid,bicyclization,high,[M+NH3+H]1+,1,554.47203,isomeric with lycopene/gamma-carotene
beta-carotene,C40H56,536.4382,carotenoid,bicyclization,high,[M+ACN+H]1+,1,578.47203,isomeric with lycopene/gamma-carotene
torulene,C40H54,534.42255,carotenoid,extra desaturation,high,[M+H]1+,1,535.42983,diagnostic Rhodotorula pigment
torulene,C40H54,534.42255,carotenoid,extra desaturation,high,[M+Na]1+,1,557.41177,diagnostic Rhodotorula pigment
torulene,C40H54,534.42255,carotenoid,extra desaturation,high,[M+K]1+,1,573.38571,diagnostic Rhodotorula pigment
torulene,C40H54,534.42255,carotenoid,extra desaturation,high,[M+2H]2+,2,268.21855,diagnostic Rhodotorula pigment
torulene,C40H54,534.42255,carotenoid,extra desaturation,high,[M+3H]3+,3,179.14813,diagnostic Rhodotorula pigment
torulene,C40H54,534.42255,carotenoid,extra desaturation,high,[M-H2O+H]1+,1,517.41926,diagnostic Rhodotorula pigment
torulene,C40H54,534.42255,carotenoid,extra desaturation,high,[M+NH3+H]1+,1,552.45638,diagnostic Rhodotorula pigment
torulene,C40H54,534.42255,carotenoid,extra desaturation,high,[M+ACN+H]1+,1,576.45638,diagnostic Rhodotorula pigment
torularhodin,C40H52O2,564.39673,carotenoid,torulene oxidation,high,[M+H]1+,1,565.40401,"diagnostic Rhodotorula pigment; refuted for raw_position 11564/12635 by SIRIUS, still valid to search elsewhere"
torularhodin,C40H52O2,564.39673,carotenoid,torulene oxidation,high,[M+Na]1+,1,587.38595,"diagnostic Rhodotorula pigment; refuted for raw_position 11564/12635 by SIRIUS, still valid to search elsewhere"
torularhodin,C40H52O2,564.39673,carotenoid,torulene oxidation,high,[M+K]1+,1,603.35989,"diagnostic Rhodotorula pigment; refuted for raw_position 11564/12635 by SIRIUS, still valid to search elsewhere"
torularhodin,C40H52O2,564.39673,carotenoid,torulene oxidation,high,[M+2H]2+,2,283.20564,"diagnostic Rhodotorula pigment; refuted for raw_position 11564/12635 by SIRIUS, still valid to search elsewhere"
torularhodin,C40H52O2,564.39673,carotenoid,torulene oxidation,high,[M+3H]3+,3,189.13952,"diagnostic Rhodotorula pigment; refuted for raw_position 11564/12635 by SIRIUS, still valid to search elsewhere"
torularhodin,C40H52O2,564.39673,carotenoid,torulene oxidation,high,[M-H2O+H]1+,1,547.39344,"diagnostic Rhodotorula pigment; refuted for raw_position 11564/12635 by SIRIUS, still valid to search elsewhere"
torularhodin,C40H52O2,564.39673,carotenoid,torulene oxidation,high,[M+NH3+H]1+,1,582.43056,"diagnostic Rhodotorula pigment; refuted for raw_position 11564/12635 by SIRIUS, still valid to search elsewhere"
torularhodin,C40H52O2,564.39673,carotenoid,torulene oxidation,high,[M+ACN+H]1+,1,606.43056,"diagnostic Rhodotorula pigment; refuted for raw_position 11564/12635 by SIRIUS, still valid to search elsewhere"
ergosterol,C28H44O1,396.33922,sterol,major fungal membrane sterol,high,[M+H]1+,1,397.34649,
ergosterol,C28H44O1,396.33922,sterol,major fungal membrane sterol,high,[M+Na]1+,1,419.32844,
ergosterol,C28H44O1,396.33922,sterol,major fungal membrane sterol,high,[M+K]1+,1,435.30237,
ergosterol,C28H44O1,396.33922,sterol,major fungal membrane sterol,high,[M+2H]2+,2,199.17688,
ergosterol,C28H44O1,396.33922,sterol,major fungal membrane sterol,high,[M+3H]3+,3,133.12035,
ergosterol,C28H44O1,396.33922,sterol,major fungal membrane sterol,high,[M-H2O+H]1+,1,379.33593,
ergosterol,C28H44O1,396.33922,sterol,major fungal membrane sterol,high,[M+NH3+H]1+,1,414.37304,
ergosterol,C28H44O1,396.33922,sterol,major fungal membrane sterol,high,[M+ACN+H]1+,1,438.37304,
ergosterol_peroxide,C28H44O3,428.32905,sterol,oxidized ergosterol,medium,[M+H]1+,1,429.33632,
ergosterol_peroxide,C28H44O3,428.32905,sterol,oxidized ergosterol,medium,[M+Na]1+,1,451.31827,
ergosterol_peroxide,C28H44O3,428.32905,sterol,oxidized ergosterol,medium,[M+K]1+,1,467.2922,
ergosterol_peroxide,C28H44O3,428.32905,sterol,oxidized ergosterol,medium,[M+2H]2+,2,215.1718,
ergosterol_peroxide,C28H44O3,428.32905,sterol,oxidized ergosterol,medium,[M+3H]3+,3,143.78362,
ergosterol_peroxide,C28H44O3,428.32905,sterol,oxidized ergosterol,medium,[M-H2O+H]1+,1,411.32576,
ergosterol_peroxide,C28H44O3,428.32905,sterol,oxidized ergosterol,medium,[M+NH3+H]1+,1,446.36287,
ergosterol_peroxide,C28H44O3,428.32905,sterol,oxidized ergosterol,medium,[M+ACN+H]1+,1,470.36287,
zymosterol,C27H44O1,384.33922,sterol,ergosterol pathway intermediate,medium,[M+H]1+,1,385.34649,
zymosterol,C27H44O1,384.33922,sterol,ergosterol pathway intermediate,medium,[M+Na]1+,1,407.32844,
zymosterol,C27H44O1,384.33922,sterol,ergosterol pathway intermediate,medium,[M+K]1+,1,423.30237,
zymosterol,C27H44O1,384.33922,sterol,ergosterol pathway intermediate,medium,[M+2H]2+,2,193.17688,
zymosterol,C27H44O1,384.33922,sterol,ergosterol pathway intermediate,medium,[M+3H]3+,3,129.12035,
zymosterol,C27H44O1,384.33922,sterol,ergosterol pathway intermediate,medium,[M-H2O+H]1+,1,367.33593,
zymosterol,C27H44O1,384.33922,sterol,ergosterol pathway intermediate,medium,[M+NH3+H]1+,1,402.37304,
zymosterol,C27H44O1,384.33922,sterol,ergosterol pathway intermediate,medium,[M+ACN+H]1+,1,426.37304,
lanosterol,C30H50O1,426.38617,sterol,ergosterol pathway intermediate,medium,[M+H]1+,1,427.39344,
lanosterol,C30H50O1,426.38617,sterol,ergosterol pathway intermediate,medium,[M+Na]1+,1,449.37539,
lanosterol,C30H50O1,426.38617,sterol,ergosterol pathway intermediate,medium,[M+K]1+,1,465.34932,
lanosterol,C30H50O1,426.38617,sterol,ergosterol pathway intermediate,medium,[M+2H]2+,2,214.20036,
lanosterol,C30H50O1,426.38617,sterol,ergosterol pathway intermediate,medium,[M+3H]3+,3,143.136,
lanosterol,C30H50O1,426.38617,sterol,ergosterol pathway intermediate,medium,[M-H2O+H]1+,1,409.38288,
lanosterol,C30H50O1,426.38617,sterol,ergosterol pathway intermediate,medium,[M+NH3+H]1+,1,444.41999,
lanosterol,C30H50O1,426.38617,sterol,ergosterol pathway intermediate,medium,[M+ACN+H]1+,1,468.41999,
episterol,C28H46O1,398.35487,sterol,ergosterol pathway intermediate,medium,[M+H]1+,1,399.36214,
episterol,C28H46O1,398.35487,sterol,ergosterol pathway intermediate,medium,[M+Na]1+,1,421.34409,
episterol,C28H46O1,398.35487,sterol,ergosterol pathway intermediate,medium,[M+K]1+,1,437.31802,
episterol,C28H46O1,398.35487,sterol,ergosterol pathway intermediate,medium,[M+2H]2+,2,200.18471,
episterol,C28H46O1,398.35487,sterol,ergosterol pathway intermediate,medium,[M+3H]3+,3,133.79223,
episterol,C28H46O1,398.35487,sterol,ergosterol pathway intermediate,medium,[M-H2O+H]1+,1,381.35158,
episterol,C28H46O1,398.35487,sterol,ergosterol pathway intermediate,medium,[M+NH3+H]1+,1,416.38869,
episterol,C28H46O1,398.35487,sterol,ergosterol pathway intermediate,medium,[M+ACN+H]1+,1,440.38869,
L-DOPA,C9H11N1O4,197.06881,melanin_precursor,tyrosinase substrate,medium,[M+H]1+,1,198.07608,
L-DOPA,C9H11N1O4,197.06881,melanin_precursor,tyrosinase substrate,medium,[M+Na]1+,1,220.05803,
L-DOPA,C9H11N1O4,197.06881,melanin_precursor,tyrosinase substrate,medium,[M+K]1+,1,236.03197,
L-DOPA,C9H11N1O4,197.06881,melanin_precursor,tyrosinase substrate,medium,[M+2H]2+,2,99.54168,
L-DOPA,C9H11N1O4,197.06881,melanin_precursor,tyrosinase substrate,medium,[M+3H]3+,3,66.69688,
L-DOPA,C9H11N1O4,197.06881,melanin_precursor,tyrosinase substrate,medium,[M-H2O+H]1+,1,180.06552,
L-DOPA,C9H11N1O4,197.06881,melanin_precursor,tyrosinase substrate,medium,[M+NH3+H]1+,1,215.10263,
L-DOPA,C9H11N1O4,197.06881,melanin_precursor,tyrosinase substrate,medium,[M+ACN+H]1+,1,239.10263,
"5,6-dihydroxyindole",C8H7N1O2,149.04768,melanin_precursor,DHI,medium,[M+H]1+,1,150.05495,
"5,6-dihydroxyindole",C8H7N1O2,149.04768,melanin_precursor,DHI,medium,[M+Na]1+,1,172.0369,
"5,6-dihydroxyindole",C8H7N1O2,149.04768,melanin_precursor,DHI,medium,[M+K]1+,1,188.01084,
"5,6-dihydroxyindole",C8H7N1O2,149.04768,melanin_precursor,DHI,medium,[M+2H]2+,2,75.53112,
"5,6-dihydroxyindole",C8H7N1O2,149.04768,melanin_precursor,DHI,medium,[M+3H]3+,3,50.68984,
"5,6-dihydroxyindole",C8H7N1O2,149.04768,melanin_precursor,DHI,medium,[M-H2O+H]1+,1,132.04439,
"5,6-dihydroxyindole",C8H7N1O2,149.04768,melanin_precursor,DHI,medium,[M+NH3+H]1+,1,167.0815,
"5,6-dihydroxyindole",C8H7N1O2,149.04768,melanin_precursor,DHI,medium,[M+ACN+H]1+,1,191.0815,
DHICA,C9H7N1O4,193.03751,melanin_precursor,"5,6-dihydroxyindole-2-carboxylic acid",medium,[M+H]1+,1,194.04478,
DHICA,C9H7N1O4,193.03751,melanin_precursor,"5,6-dihydroxyindole-2-carboxylic acid",medium,[M+Na]1+,1,216.02673,
DHICA,C9H7N1O4,193.03751,melanin_precursor,"5,6-dihydroxyindole-2-carboxylic acid",medium,[M+K]1+,1,232.00067,
DHICA,C9H7N1O4,193.03751,melanin_precursor,"5,6-dihydroxyindole-2-carboxylic acid",medium,[M+2H]2+,2,97.52603,
DHICA,C9H7N1O4,193.03751,melanin_precursor,"5,6-dihydroxyindole-2-carboxylic acid",medium,[M+3H]3+,3,65.35311,
DHICA,C9H7N1O4,193.03751,melanin_precursor,"5,6-dihydroxyindole-2-carboxylic acid",medium,[M-H2O+H]1+,1,176.03422,
DHICA,C9H7N1O4,193.03751,melanin_precursor,"5,6-dihydroxyindole-2-carboxylic acid",medium,[M+NH3+H]1+,1,211.07133,
DHICA,C9H7N1O4,193.03751,melanin_precursor,"5,6-dihydroxyindole-2-carboxylic acid",medium,[M+ACN+H]1+,1,235.07133,
homogentisic_acid,C8H8O4,168.04226,melanin_precursor,pyomelanin precursor (HGA pathway),medium,[M+H]1+,1,169.04954,
homogentisic_acid,C8H8O4,168.04226,melanin_precursor,pyomelanin precursor (HGA pathway),medium,[M+Na]1+,1,191.03148,
homogentisic_acid,C8H8O4,168.04226,melanin_precursor,pyomelanin precursor (HGA pathway),medium,[M+K]1+,1,207.00542,
homogentisic_acid,C8H8O4,168.04226,melanin_precursor,pyomelanin precursor (HGA pathway),medium,[M+2H]2+,2,85.02841,
homogentisic_acid,C8H8O4,168.04226,melanin_precursor,pyomelanin precursor (HGA pathway),medium,[M+3H]3+,3,57.02136,
homogentisic_acid,C8H8O4,168.04226,melanin_precursor,pyomelanin precursor (HGA pathway),medium,[M-H2O+H]1+,1,151.03897,
homogentisic_acid,C8H8O4,168.04226,melanin_precursor,pyomelanin precursor (HGA pathway),medium,[M+NH3+H]1+,1,186.07608,
homogentisic_acid,C8H8O4,168.04226,melanin_precursor,pyomelanin precursor (HGA pathway),medium,[M+ACN+H]1+,1,210.07608,
4-maleylacetoacetate,C8H8O6,200.03209,melanin_precursor,HGA pathway intermediate,low,[M+H]1+,1,201.03936,
4-maleylacetoacetate,C8H8O6,200.03209,melanin_precursor,HGA pathway intermediate,low,[M+Na]1+,1,223.02131,
4-maleylacetoacetate,C8H8O6,200.03209,melanin_precursor,HGA pathway intermediate,low,[M+K]1+,1,238.99525,
4-maleylacetoacetate,C8H8O6,200.03209,melanin_precursor,HGA pathway intermediate,low,[M+2H]2+,2,101.02332,
4-maleylacetoacetate,C8H8O6,200.03209,melanin_precursor,HGA pathway intermediate,low,[M+3H]3+,3,67.68464,
4-maleylacetoacetate,C8H8O6,200.03209,melanin_precursor,HGA pathway intermediate,low,[M-H2O+H]1+,1,183.0288,
4-maleylacetoacetate,C8H8O6,200.03209,melanin_precursor,HGA pathway intermediate,low,[M+NH3+H]1+,1,218.06591,
4-maleylacetoacetate,C8H8O6,200.03209,melanin_precursor,HGA pathway intermediate,low,[M+ACN+H]1+,1,242.06591,
mycosporine-glycine,C11H17N1O6,259.10559,maa,MAA core,low,[M+H]1+,1,260.11286,
mycosporine-glycine,C11H17N1O6,259.10559,maa,MAA core,low,[M+Na]1+,1,282.09481,
mycosporine-glycine,C11H17N1O6,259.10559,maa,MAA core,low,[M+K]1+,1,298.06875,
mycosporine-glycine,C11H17N1O6,259.10559,maa,MAA core,low,[M+2H]2+,2,130.56007,
mycosporine-glycine,C11H17N1O6,259.10559,maa,MAA core,low,[M+3H]3+,3,87.37581,
mycosporine-glycine,C11H17N1O6,259.10559,maa,MAA core,low,[M-H2O+H]1+,1,242.1023,
mycosporine-glycine,C11H17N1O6,259.10559,maa,MAA core,low,[M+NH3+H]1+,1,277.13941,
mycosporine-glycine,C11H17N1O6,259.10559,maa,MAA core,low,[M+ACN+H]1+,1,301.13941,
shinorine,C15H23N2O8,359.14544,maa,"MAA, glycine+serine",low,[M+H]1+,1,360.15272,
shinorine,C15H23N2O8,359.14544,maa,"MAA, glycine+serine",low,[M+Na]1+,1,382.13466,
shinorine,C15H23N2O8,359.14544,maa,"MAA, glycine+serine",low,[M+K]1+,1,398.1086,
shinorine,C15H23N2O8,359.14544,maa,"MAA, glycine+serine",low,[M+2H]2+,2,180.58,
