compound,formula,monoisotopic_mass,category,pathway_step,confidence,adduct,charge,expected_mz,notes
shinorine,C15H23N2O8,359.14544,maa,"MAA, glycine+serine",low,[M+3H]3+,3,120.72242,
shinorine,C15H23N2O8,359.14544,maa,"MAA, glycine+serine",low,[M-H2O+H]1+,1,342.14215,
shinorine,C15H23N2O8,359.14544,maa,"MAA, glycine+serine",low,[M+NH3+H]1+,1,377.17927,
shinorine,C15H23N2O8,359.14544,maa,"MAA, glycine+serine",low,[M+ACN+H]1+,1,401.17927,
porphyra-334,C14H22N2O8,346.13762,maa,"MAA, glycine+threonine",low,[M+H]1+,1,347.14489,
porphyra-334,C14H22N2O8,346.13762,maa,"MAA, glycine+threonine",low,[M+Na]1+,1,369.12684,
porphyra-334,C14H22N2O8,346.13762,maa,"MAA, glycine+threonine",low,[M+K]1+,1,385.10077,
porphyra-334,C14H22N2O8,346.13762,maa,"MAA, glycine+threonine",low,[M+2H]2+,2,174.07608,
porphyra-334,C14H22N2O8,346.13762,maa,"MAA, glycine+threonine",low,[M+3H]3+,3,116.38648,
porphyra-334,C14H22N2O8,346.13762,maa,"MAA, glycine+threonine",low,[M-H2O+H]1+,1,329.13433,
porphyra-334,C14H22N2O8,346.13762,maa,"MAA, glycine+threonine",low,[M+NH3+H]1+,1,364.17144,
porphyra-334,C14H22N2O8,346.13762,maa,"MAA, glycine+threonine",low,[M+ACN+H]1+,1,388.17144,
palythine,C10H16N2O5,244.10592,maa,MAA core,low,[M+H]1+,1,245.1132,
palythine,C10H16N2O5,244.10592,maa,MAA core,low,[M+Na]1+,1,267.09514,
palythine,C10H16N2O5,244.10592,maa,MAA core,low,[M+K]1+,1,283.06908,
palythine,C10H16N2O5,244.10592,maa,MAA core,low,[M+2H]2+,2,123.06024,
palythine,C10H16N2O5,244.10592,maa,MAA core,low,[M+3H]3+,3,82.37592,
palythine,C10H16N2O5,244.10592,maa,MAA core,low,[M-H2O+H]1+,1,227.10263,
palythine,C10H16N2O5,244.10592,maa,MAA core,low,[M+NH3+H]1+,1,262.13975,
palythine,C10H16N2O5,244.10592,maa,MAA core,low,[M+ACN+H]1+,1,286.13975,
palythinol,C11H18N2O6,274.11649,maa,hydroxylated palythine,low,[M+H]1+,1,275.12376,
palythinol,C11H18N2O6,274.11649,maa,hydroxylated palythine,low,[M+Na]1+,1,297.10571,
palythinol,C11H18N2O6,274.11649,maa,hydroxylated palythine,low,[M+K]1+,1,313.07964,
palythinol,C11H18N2O6,274.11649,maa,hydroxylated palythine,low,[M+2H]2+,2,138.06552,
palythinol,C11H18N2O6,274.11649,maa,hydroxylated palythine,low,[M+3H]3+,3,92.37944,
palythinol,C11H18N2O6,274.11649,maa,hydroxylated palythine,low,[M-H2O+H]1+,1,257.1132,
palythinol,C11H18N2O6,274.11649,maa,hydroxylated palythine,low,[M+NH3+H]1+,1,292.15031,
palythinol,C11H18N2O6,274.11649,maa,hydroxylated palythine,low,[M+ACN+H]1+,1,316.15031,
asterina-330,C13H20N2O6,300.13214,maa,"MAA, alanine substituted",low,[M+H]1+,1,301.13941,
asterina-330,C13H20N2O6,300.13214,maa,"MAA, alanine substituted",low,[M+Na]1+,1,323.12136,
asterina-330,C13H20N2O6,300.13214,maa,"MAA, alanine substituted",low,[M+K]1+,1,339.09529,
asterina-330,C13H20N2O6,300.13214,maa,"MAA, alanine substituted",low,[M+2H]2+,2,151.07334,
asterina-330,C13H20N2O6,300.13214,maa,"MAA, alanine substituted",low,[M+3H]3+,3,101.05132,
asterina-330,C13H20N2O6,300.13214,maa,"MAA, alanine substituted",low,[M-H2O+H]1+,1,283.12885,
asterina-330,C13H20N2O6,300.13214,maa,"MAA, alanine substituted",low,[M+NH3+H]1+,1,318.16596,
asterina-330,C13H20N2O6,300.13214,maa,"MAA, alanine substituted",low,[M+ACN+H]1+,1,342.16596,
usujirene,C13H20N2O6,300.13214,maa,"MAA, threonine-derived isomer",low,[M+H]1+,1,301.13941,
usujirene,C13H20N2O6,300.13214,maa,"MAA, threonine-derived isomer",low,[M+Na]1+,1,323.12136,
usujirene,C13H20N2O6,300.13214,maa,"MAA, threonine-derived isomer",low,[M+K]1+,1,339.09529,
usujirene,C13H20N2O6,300.13214,maa,"MAA, threonine-derived isomer",low,[M+2H]2+,2,151.07334,
usujirene,C13H20N2O6,300.13214,maa,"MAA, threonine-derived isomer",low,[M+3H]3+,3,101.05132,
usujirene,C13H20N2O6,300.13214,maa,"MAA, threonine-derived isomer",low,[M-H2O+H]1+,1,283.12885,
usujirene,C13H20N2O6,300.13214,maa,"MAA, threonine-derived isomer",low,[M+NH3+H]1+,1,318.16596,
usujirene,C13H20N2O6,300.13214,maa,"MAA, threonine-derived isomer",low,[M+ACN+H]1+,1,342.16596,
mycosporine-serine,C12H19N1O8,305.11107,maa,"MAA core, serine-substituted",low,[M+H]1+,1,306.11834,
mycosporine-serine,C12H19N1O8,305.11107,maa,"MAA core, serine-substituted",low,[M+Na]1+,1,328.10029,
mycosporine-serine,C12H19N1O8,305.11107,maa,"MAA core, serine-substituted",low,[M+K]1+,1,344.07422,
mycosporine-serine,C12H19N1O8,305.11107,maa,"MAA core, serine-substituted",low,[M+2H]2+,2,153.56281,
mycosporine-serine,C12H19N1O8,305.11107,maa,"MAA core, serine-substituted",low,[M+3H]3+,3,102.71097,
mycosporine-serine,C12H19N1O8,305.11107,maa,"MAA core, serine-substituted",low,[M-H2O+H]1+,1,288.10778,
mycosporine-serine,C12H19N1O8,305.11107,maa,"MAA core, serine-substituted",low,[M+NH3+H]1+,1,323.14489,
mycosporine-serine,C12H19N1O8,305.11107,maa,"MAA core, serine-substituted",low,[M+ACN+H]1+,1,347.14489,
riboflavin,C17H20N4O6,376.13828,flavin,"vitamin B2, yellow pigment",medium,[M+H]1+,1,377.14556,
riboflavin,C17H20N4O6,376.13828,flavin,"vitamin B2, yellow pigment",medium,[M+Na]1+,1,399.12751,
riboflavin,C17H20N4O6,376.13828,flavin,"vitamin B2, yellow pigment",medium,[M+K]1+,1,415.10144,
riboflavin,C17H20N4O6,376.13828,flavin,"vitamin B2, yellow pigment",medium,[M+2H]2+,2,189.07642,
riboflavin,C17H20N4O6,376.13828,flavin,"vitamin B2, yellow pigment",medium,[M+3H]3+,3,126.3867,
riboflavin,C17H20N4O6,376.13828,flavin,"vitamin B2, yellow pigment",medium,[M-H2O+H]1+,1,359.135,
riboflavin,C17H20N4O6,376.13828,flavin,"vitamin B2, yellow pigment",medium,[M+NH3+H]1+,1,394.17211,
riboflavin,C17H20N4O6,376.13828,flavin,"vitamin B2, yellow pigment",medium,[M+ACN+H]1+,1,418.17211,
FMN,C17H21N4O9P1,456.10462,flavin,flavin mononucleotide,medium,[M+H]1+,1,457.11189,
FMN,C17H21N4O9P1,456.10462,flavin,flavin mononucleotide,medium,[M+Na]1+,1,479.09384,
FMN,C17H21N4O9P1,456.10462,flavin,flavin mononucleotide,medium,[M+K]1+,1,495.06777,
FMN,C17H21N4O9P1,456.10462,flavin,flavin mononucleotide,medium,[M+2H]2+,2,229.05958,
FMN,C17H21N4O9P1,456.10462,flavin,flavin mononucleotide,medium,[M+3H]3+,3,153.04215,
FMN,C17H21N4O9P1,456.10462,flavin,flavin mononucleotide,medium,[M-H2O+H]1+,1,439.10133,
FMN,C17H21N4O9P1,456.10462,flavin,flavin mononucleotide,medium,[M+NH3+H]1+,1,474.13844,
FMN,C17H21N4O9P1,456.10462,flavin,flavin mononucleotide,medium,[M+ACN+H]1+,1,498.13844,
FAD,C27H33N9O15P2,785.15714,flavin,flavin adenine dinucleotide,medium,[M+H]1+,1,786.16441,
FAD,C27H33N9O15P2,785.15714,flavin,flavin adenine dinucleotide,medium,[M+Na]1+,1,808.14636,
FAD,C27H33N9O15P2,785.15714,flavin,flavin adenine dinucleotide,medium,[M+K]1+,1,824.12029,
