compound,formula,monoisotopic_mass,category,pathway_step,confidence,adduct,charge,expected_mz,notes
dopaquinone,C9H9N1O4,195.05316,melanin_precursor,tyrosinase product,low,[M+2H]2+,2,98.53386,"highly reactive/unstable, unlikely to be detected intact"
dopaquinone,C9H9N1O4,195.05316,melanin_precursor,tyrosinase product,low,[M-H2O+H]1+,1,178.04987,"highly reactive/unstable, unlikely to be detected intact"
"5,6-dihydroxyindole",C8H7N1O2,149.04768,melanin_precursor,"DHI, downstream of DOPA",medium,[M+H]1+,1,150.05495,
"5,6-dihydroxyindole",C8H7N1O2,149.04768,melanin_precursor,"DHI, downstream of DOPA",medium,[M+Na]1+,1,172.0369,
"5,6-dihydroxyindole",C8H7N1O2,149.04768,melanin_precursor,"DHI, downstream of DOPA",medium,[M+2H]2+,2,75.53112,
"5,6-dihydroxyindole",C8H7N1O2,149.04768,melanin_precursor,"DHI, downstream of DOPA",medium,[M-H2O+H]1+,1,132.04439,
DHICA,C9H7N1O4,193.03751,melanin_precursor,"5,6-dihydroxyindole-2-carboxylic acid",medium,[M+H]1+,1,194.04478,
DHICA,C9H7N1O4,193.03751,melanin_precursor,"5,6-dihydroxyindole-2-carboxylic acid",medium,[M+Na]1+,1,216.02673,
DHICA,C9H7N1O4,193.03751,melanin_precursor,"5,6-dihydroxyindole-2-carboxylic acid",medium,[M+2H]2+,2,97.52603,
DHICA,C9H7N1O4,193.03751,melanin_precursor,"5,6-dihydroxyindole-2-carboxylic acid",medium,[M-H2O+H]1+,1,176.03422,
mycosporine-glycine,C11H17N1O6,259.10559,maa,MAA core,low,[M+H]1+,1,260.11286,
mycosporine-glycine,C11H17N1O6,259.10559,maa,MAA core,low,[M+Na]1+,1,282.09481,
mycosporine-glycine,C11H17N1O6,259.10559,maa,MAA core,low,[M+2H]2+,2,130.56007,
mycosporine-glycine,C11H17N1O6,259.10559,maa,MAA core,low,[M-H2O+H]1+,1,242.1023,
shinorine,C15H23N2O8,359.14544,maa,"MAA, glycine+serine substituted",low,[M+H]1+,1,360.15272,
shinorine,C15H23N2O8,359.14544,maa,"MAA, glycine+serine substituted",low,[M+Na]1+,1,382.13466,
shinorine,C15H23N2O8,359.14544,maa,"MAA, glycine+serine substituted",low,[M+2H]2+,2,180.58,
shinorine,C15H23N2O8,359.14544,maa,"MAA, glycine+serine substituted",low,[M-H2O+H]1+,1,342.14215,
porphyra-334,C14H22N2O8,346.13762,maa,"MAA, glycine+threonine substituted",low,[M+H]1+,1,347.14489,
porphyra-334,C14H22N2O8,346.13762,maa,"MAA, glycine+threonine substituted",low,[M+Na]1+,1,369.12684,
porphyra-334,C14H22N2O8,346.13762,maa,"MAA, glycine+threonine substituted",low,[M+2H]2+,2,174.07608,
porphyra-334,C14H22N2O8,346.13762,maa,"MAA, glycine+threonine substituted",low,[M-H2O+H]1+,1,329.13433,
palythine,C10H16N2O5,244.10592,maa,MAA core,low,[M+H]1+,1,245.1132,
palythine,C10H16N2O5,244.10592,maa,MAA core,low,[M+Na]1+,1,267.09514,
palythine,C10H16N2O5,244.10592,maa,MAA core,low,[M+2H]2+,2,123.06024,
palythine,C10H16N2O5,244.10592,maa,MAA core,low,[M-H2O+H]1+,1,227.10263,
