SAMPLE_NAME,sample_id,mean_auc_rate,Library Plate,strain_id,species
DBVPG_4531,SUP_224,9.787060205,1.0,DBVPG_4531,Rhodotorula taiwanensis
DBVPG_4534,SUP_233,18.28030265,1.0,DBVPG_4534,Rhodotorula mucilaginosa
DBVPG_4618,SUP_171,16.50590093,1.0,DBVPG_4618,Rhodotorula mucilaginosa
DBVPG_4669,SUP_189,24.00352902,1.0,DBVPG_4669,Rhodotorula mucilaginosa
DBVPG_4920,SUP_198,20.93218639,1.0,DBVPG_4920,Rhodotorula mucilaginosa
DBVPG_4945,SUP_207,25.51658548,1.0,DBVPG_4945,Rhodotorula mucilaginosa
DBVPG_4946,SUP_216,25.10678564,1.0,DBVPG_4946,Rhodotorula mucilaginosa
DBVPG_4947,SUP_225,29.32687081,1.0,DBVPG_4947,Rhodotorula mucilaginosa
DBVPG_4949,SUP_234,22.35962909,1.0,DBVPG_4949,Rhodotorula mucilaginosa
DBVPG_4956,SUP_253,24.30947492,1.0,DBVPG_4956,Rhodotorula mucilaginosa
DBVPG_4957,SUP_262,23.32944024,1.0,DBVPG_4957,Rhodotorula mucilaginosa
DBVPG_4958,SUP_271,19.57003458,1.0,DBVPG_4958,Rhodotorula mucilaginosa
DBVPG_4962,SUP_280,24.83513627,1.0,DBVPG_4962,Rhodotorula mucilaginosa
DBVPG_4963,SUP_289,23.21289994,1.0,DBVPG_4963,Rhodotorula mucilaginosa
DBVPG_4964,SUP_298,16.21948858,1.0,DBVPG_4964,Rhodotorula mucilaginosa
DBVPG_5225,SUP_307,24.13093889,1.0,DBVPG_5225,Rhodotorula mucilaginosa
DBVPG_5226,SUP_313,27.48222749,1.0,DBVPG_5226,Rhodotorula mucilaginosa
DBVPG_5227,SUP_245,22.56044183,1.0,DBVPG_5227,Rhodotorula mucilaginosa
DBVPG_5228,SUP_254,23.42394362,1.0,DBVPG_5228,Rhodotorula mucilaginosa
DBVPG_5229,SUP_263,21.72444256,1.0,DBVPG_5229,Rhodotorula mucilaginosa
DBVPG_5235,SUP_272,24.8936214,1.0,DBVPG_5235,Rhodotorula mucilaginosa
DBVPG_5236,SUP_281,23.46507539,1.0,DBVPG_5236,Rhodotorula mucilaginosa
DBVPG_5757,SUP_290,18.16158768,1.0,DBVPG_5757,Rhodotorula mucilaginosa
DBVPG_5758,SUP_299,21.50761609,1.0,DBVPG_5758,Rhodotorula mucilaginosa
DBVPG_5759,SUP_308,19.2848049,1.0,DBVPG_5759,Rhodotorula mucilaginosa
DBVPG_6081,SUP_314,20.5027828,1.0,DBVPG_6081,Rhodotorula glutinis
DBVPG_6083,SUP_294,17.64377574,1.0,DBVPG_6083,Rhodotorula graminis
DBVPG_6091,SUP_246,24.91900263,1.0,DBVPG_6091,Rhodotorula mucilaginosa
DBVPG_6092,SUP_303,21.60916696,1.0,DBVPG_6092,Rhodotorula mucilaginosa
DBVPG_6093,SUP_255,18.5472794,1.0,DBVPG_6093,Rhodotorula mucilaginosa
DBVPG_6094,SUP_264,23.34784241,1.0,DBVPG_6094,Rhodotorula mucilaginosa
DBVPG_6121,SUP_273,23.43875194,1.0,DBVPG_6121,Rhodotorula toruloides
DBVPG_6195,SUP_282,16.42027428,1.0,DBVPG_6195,Rhodotorula diobovata
DBVPG_6202,SUP_291,19.98733447,1.0,DBVPG_6202,Rhodotorula diobovata
DBVPG_6593,SUP_300,23.32772859,1.0,DBVPG_6593,Rhodotorula mucilaginosa
DBVPG_6649,SUP_309,21.85610375,1.0,DBVPG_6649,Rhodotorula mucilaginosa
DBVPG_6739,SUP_247,21.01335697,1.0,DBVPG_6739,Rhodotorula toruloides
DBVPG_6740,SUP_312,21.36406731,1.0,DBVPG_6740,Pseudomicrostroma phylloplanum
DBVPG_6741,SUP_318,24.08741772,1.0,DBVPG_6741,Rhodotorula mucilaginosa
DBVPG_6742,SUP_256,25.11841147,1.0,DBVPG_6742,Rhodotorula mucilaginosa
DBVPG_6743,SUP_265,25.04456603,1.0,DBVPG_6743,Rhodotorula mucilaginosa
DBVPG_6803,SUP_274,22.32252704,1.0,DBVPG_6803,Rhodotorula mucilaginosa
DBVPG_7019,SUP_283,23.42592417,1.0,DBVPG_7019,Rhodotorula mucilaginosa
DBVPG_7021,SUP_292,10.55209411,1.0,DBVPG_7021,Rhodotorula graminis
DBVPG_7316,SUP_250,24.35055475,1.0,DBVPG_7316,Rhodotorula paludigena
DBVPG_7323,SUP_301,13.8155065,1.0,DBVPG_7323,Rhodotorula paludigena
DBVPG_7539,SUP_310,7.639441236,1.0,DBVPG_7539,Rhodotorula kratochvilovae
DBVPG_7947,SUP_248,17.5243069,1.0,DBVPG_7947,Rhodotorula sp. clade XIII
DBVPG_8043,SUP_257,25.18338189,1.0,DBVPG_8043,Rhodotorula mucilaginosa
DBVPG_8058,SUP_266,23.96362788,1.0,DBVPG_8058,Rhodotorula sp. clade I
NRRL_Y-12923,SUP_325,17.06994616,1.0,Y-12923,Rhodotorula paludigena
NRRL_Y-17376,SUP_326,15.41133812,1.0,Y-17376,Rhodotorula araucariae
NRRL_Y-2474,SUP_320,6.9179384,1.0,Y-2474,Rhodotorula graminis
NRRL_Y-2504,SUP_321,18.1606126,1.0,Y-2504,Rhodotorula dairenensis
NRRL_Y-2510,SUP_322,11.81348489,1.0,Y-2510,Rhodotorula mucilaginosa
NRRL_Y-7192,SUP_323,22.37151148,1.0,Y-7192,Rhodotorula sphaerocarpa
TFCN_0520-4-2-1,SUP_155,18.40074656,1.0,0520-4-2-1,Rhodotorula taiwanensis
TFCN_0520-4-2-2,SUP_137,19.93582183,1.0,0520-4-2-2,Rhodotorula taiwanensis
TFCN_100D-1,SUP_32,21.81549105,1.0,100D-1,Rhodotorula mucilaginosa
TFCN_102C-1,SUP_99,26.29944363,1.0,102C-1,Rhodotorula mucilaginosa
TFCN_102C-2,SUP_4,22.47731299,1.0,102C-2,Rhodotorula mucilaginosa
TFCN_102D-1,SUP_20,21.87794441,1.0,102D-1,Rhodotorula mucilaginosa
TFCN_102D-2,SUP_161,25.30267401,1.0,102D-2,Rhodotorula mucilaginosa
TFCN_105A-2,SUP_5,24.19630831,1.0,105A-2,Rhodotorula mucilaginosa
TFCN_106A-1,SUP_172,24.04070687,1.0,106A-1,Rhodotorula mucilaginosa
TFCN_107A-6,SUP_8,22.54508341,1.0,107A-6,Rhodotorula mucilaginosa
TFCN_107C-3,SUP_41,24.65335141,1.0,107C-3,Rhodotorula mucilaginosa
TFCN_118C-2,SUP_50,22.49559082,1.0,118C-2,Rhodotorula mucilaginosa
TFCN_130D-4,SUP_14,23.34521089,1.0,130D-4,Rhodotorula mucilaginosa
TFCN_134A-3,SUP_2,24.46531655,1.0,134A-3,Rhodotorula mucilaginosa
TFCN_137C-3,SUP_25,24.65058665,1.0,137C-3,Rhodotorula mucilaginosa
TFCN_137D-4,SUP_75,26.2336752,1.0,137D-4,Rhodotorula mucilaginosa
TFCN_140A-3,SUP_64,21.58755111,1.0,140A-3,Rhodotorula mucilaginosa
TFCN_141C-2,SUP_13,25.00870143,1.0,141C-2,Rhodotorula mucilaginosa
TFCN_152A-1,SUP_158,26.91924418,1.0,152A-1,Rhodotorula mucilaginosa
TFCN_152A-12,SUP_19,26.46353895,1.0,152A-12,Rhodotorula mucilaginosa
TFCN_152A-2,SUP_83,23.47743445,1.0,152A-2,Rhodotorula mucilaginosa
TFCN_152A-4,SUP_96,21.72629878,1.0,152A-4,Rhodotorula toruloides
TFCN_152A-5,SUP_159,23.46009155,1.0,152A-5,Rhodotorula mucilaginosa
TFCN_152A-6,SUP_61,20.98684123,1.0,152A-6,Rhodotorula toruloides
TFCN_152C-2,SUP_141,23.77963901,1.0,152C-2,Rhodotorula toruloides
TFCN_152C-3,SUP_88,22.99771427,1.0,152C-3,Rhodotorula toruloides
TFCN_152C-5,SUP_150,22.67638681,1.0,152C-5,Rhodotorula mucilaginosa
TFCN_152C-6,SUP_105,18.61932605,1.0,152C-6,Rhodotorula toruloides
TFCN_152D-4,SUP_43,21.37887069,1.0,152D-4,Rhodotorula toruloides
TFCN_152D-6,SUP_114,18.63038826,1.0,152D-6,Rhodotorula toruloides
TFCN_17-0-2E334-10,SUP_117,22.39296574,1.0,17-0-2E334-10,Rhodotorula mucilaginosa
TFCN_17-0-2E334-4,SUP_126,24.86836471,1.0,17-0-2E334-4,Rhodotorula mucilaginosa
TFCN_17-0-2E337-3,SUP_174,24.65463772,1.0,17-0-2E337-3,Rhodotorula mucilaginosa
TFCN_17-0-2E390-1,SUP_54,25.20220553,1.0,17-0-2E390-1,Rhodotorula mucilaginosa
TFCN_17-0-2E390-2,SUP_63,23.99895699,1.0,17-0-2E390-2,Rhodotorula mucilaginosa
TFCN_17-267M-1,SUP_36,25.26473036,1.0,17-267M-1,Rhodotorula mucilaginosa
TFCN_17-291Y-1,SUP_1,24.7066069,1.0,17-291Y-1,Rhodotorula mucilaginosa
TFCN_17-325D-2,SUP_68,24.08676085,1.0,17-325D-2,Rhodotorula mucilaginosa
TFCN_17-325D-4,SUP_143,25.3925701,1.0,17-325D-4,Rhodotorula mucilaginosa
TFCN_17-325P-1,SUP_69,25.78418549,1.0,17-325P-1,Rhodotorula mucilaginosa
TFCN_17-328C-3,SUP_119,22.10189574,1.0,17-328C-3,Rhodotorula sp. clade I
TFCN_17-329Y-4,SUP_7,22.88277479,1.0,17-329Y-4,Rhodotorula mucilaginosa
TFCN_17-332C-1,SUP_209,22.97868155,1.0,17-332C-1,Rhodotorula mucilaginosa
TFCN_17-332C-2,SUP_135,24.18499887,1.0,17-332C-2,Rhodotorula mucilaginosa
TFCN_17-332M-2,SUP_199,22.97705776,1.0,17-332M-2,Rhodotorula mucilaginosa
TFCN_17-332P-1,SUP_97,22.75990749,1.0,17-332P-1,Rhodotorula mucilaginosa
TFCN_17-332P-2,SUP_144,23.91822341,1.0,17-332P-2,Rhodotorula mucilaginosa
TFCN_17-333D-2,SUP_134,23.5905767,1.0,17-333D-2,Rhodotorula mucilaginosa
TFCN_17-333P-6,SUP_67,27.28200817,1.0,17-333P-6,Rhodotorula mucilaginosa
TFCN_17-334C-1,SUP_164,24.67066616,1.0,17-334C-1,Rhodotorula mucilaginosa
TFCN_17-334D-6,SUP_125,23.98674505,1.0,17-334D-6,Rhodotorula mucilaginosa
TFCN_17-334Y-2,SUP_6,25.34454032,1.0,17-334Y-2,Rhodotorula mucilaginosa
TFCN_17-334Y-3,SUP_39,23.21891467,1.0,17-334Y-3,Rhodotorula mucilaginosa
TFCN_17-334Y-5,SUP_163,24.86708616,1.0,17-334Y-5,Rhodotorula mucilaginosa
TFCN_17-334Y-6,SUP_120,18.91621303,1.0,17-334Y-6,Rhodotorula diobovata
TFCN_17-337P-5,SUP_24,25.94201354,1.0,17-337P-5,Rhodotorula mucilaginosa
TFCN_17-338D-3,SUP_62,27.43164458,1.0,17-338D-3,Rhodotorula mucilaginosa
TFCN_17-390M-1,SUP_9,24.11197693,1.0,17-390M-1,Rhodotorula mucilaginosa
TFCN_172A-1,SUP_55,24.78203923,1.0,172A-1,Rhodotorula mucilaginosa
TFCN_17Y-278-1,SUP_45,24.94435915,1.0,17Y-278-1,Rhodotorula mucilaginosa
TFCN_181A-1,SUP_183,23.60157614,1.0,181A-1,Rhodotorula mucilaginosa
TFCN_186DK3-2,SUP_16,23.47963672,1.0,186DK3-2,Rhodotorula sp. clade XI
TFCN_1A-1-2,SUP_157,22.87270606,1.0,1A-1-2,Rhodotorula paludigena
TFCN_1A-1-3,SUP_28,25.03112434,1.0,1A-1-3,Rhodotorula pacifica
TFCN_1A-14,SUP_52,22.56637193,1.0,1A-14,Rhodotorula mucilaginosa
TFCN_1B-1-2,SUP_80,25.44957378,1.0,1B-1-2,Rhodotorula pacifica
TFCN_209-6-1,SUP_235,22.16821843,1.0,209-6-1,Rhodotorula mucilaginosa
TFCN_209-6-11,SUP_22,22.71536613,1.0,209-6-11,Rhodotorula mucilaginosa
TFCN_209-6-12,SUP_236,24.46378776,1.0,209-6-12,Rhodotorula mucilaginosa
TFCN_209-6-14,SUP_200,24.58425399,1.0,209-6-14,Rhodotorula mucilaginosa
TFCN_209-6-17,SUP_74,25.50773362,1.0,209-6-17,Rhodotorula mucilaginosa
TFCN_209-6-2,SUP_77,24.63154487,1.0,209-6-2,Rhodotorula mucilaginosa
TFCN_209-6-4,SUP_107,25.81895226,1.0,209-6-4,Rhodotorula mucilaginosa
TFCN_209-6-5,SUP_66,24.26690358,1.0,209-6-5,Rhodotorula mucilaginosa
TFCN_211A-3,SUP_53,22.28481236,1.0,211A-3,Rhodotorula mucilaginosa
TFCN_212C-2,SUP_26,24.23208753,1.0,212C-2,Rhodotorula mucilaginosa
TFCN_213-6-2,SUP_104,24.18698406,1.0,213-6-2,Rhodotorula mucilaginosa
TFCN_213-6-4,SUP_131,24.51810133,1.0,213-6-4,Rhodotorula mucilaginosa
TFCN_222A-2,SUP_122,26.55615047,1.0,222A-2,Rhodotorula sp. clade I
TFCN_22C-4,SUP_56,24.28472686,1.0,22C-4,Rhodotorula mucilaginosa
TFCN_25-0-2E332-1,SUP_115,23.55262525,1.0,25-0-2E332-1,Rhodotorula mucilaginosa
TFCN_25-0-2E333-1,SUP_217,27.24116449,1.0,25-0-2E333-1,Rhodotorula mucilaginosa
TFCN_25-0-2E333-5,SUP_153,23.49843205,1.0,25-0-2E333-5,Rhodotorula mucilaginosa
TFCN_25-0-2E333-7,SUP_129,22.82214379,1.0,25-0-2E333-7,Rhodotorula mucilaginosa
TFCN_25-0-2E333-9,SUP_116,19.66452679,1.0,25-0-2E333-9,Rhodotorula mucilaginosa
TFCN_25-0-2E334-1,SUP_218,23.67678758,1.0,25-0-2E334-1,Rhodotorula mucilaginosa
TFCN_25-0-2E390-1,SUP_27,25.88962136,1.0,25-0-2E390-1,Rhodotorula mucilaginosa
TFCN_25-325Y-1,SUP_60,25.92015055,1.0,25-325Y-1,Rhodotorula mucilaginosa
TFCN_25-327D-1,SUP_162,24.52823753,1.0,25-327D-1,Rhodotorula mucilaginosa
TFCN_25-331D-1,SUP_47,18.43975071,1.0,25-331D-1,Rhodotorula mucilaginosa
TFCN_25-332C-1,SUP_38,23.62762653,1.0,25-332C-1,Rhodotorula mucilaginosa
TFCN_25-332D-1,SUP_181,23.0575439,1.0,25-332D-1,Rhodotorula mucilaginosa
TFCN_25-332D-2,SUP_29,24.20716696,1.0,25-332D-2,Rhodotorula mucilaginosa
TFCN_25-332M-2,SUP_108,23.06296275,1.0,25-332M-2,Rhodotorula mucilaginosa
TFCN_25-332P-2,SUP_78,23.65766434,1.0,25-332P-2,Rhodotorula mucilaginosa
TFCN_25-332Y-1,SUP_58,23.2334282,1.0,25-332Y-1,Rhodotorula mucilaginosa
TFCN_25-333C-2,SUP_48,17.94539092,1.0,25-333C-2,Rhodotorula mucilaginosa
TFCN_25-333D-5,SUP_139,21.28161346,1.0,25-333D-5,Rhodotorula sp. clade I
TFCN_25-333P-2,SUP_182,21.7597577,1.0,25-333P-2,Rhodotorula mucilaginosa
TFCN_25-333P-5,SUP_121,22.92053482,1.0,25-333P-5,Rhodotorula paludigena
TFCN_25-333Y-10,SUP_86,22.51663104,1.0,25-333Y-10,Rhodotorula mucilaginosa
TFCN_25-333Y-2,SUP_123,15.79311168,1.0,25-333Y-2,Rhodotorula sp. clade I
TFCN_25-333Y-9,SUP_59,24.49523214,1.0,25-333Y-9,Rhodotorula mucilaginosa
TFCN_25-334D-3,SUP_51,23.50150848,1.0,25-334D-3,Rhodotorula mucilaginosa
TFCN_25-334Y-6,SUP_227,21.59260277,1.0,25-334Y-6,Rhodotorula mucilaginosa
TFCN_25-335C-1,SUP_111,19.96227607,1.0,25-335C-1,Rhodotorula diobovata
TFCN_25-335P-1,SUP_91,17.1437508,1.0,25-335P-1,Rhodotorula diobovata
TFCN_25-335Y-1,SUP_130,25.1991062,1.0,25-335Y-1,Rhodotorula mucilaginosa
TFCN_25-337M-3,SUP_152,23.34620228,1.0,25-337M-3,Rhodotorula mucilaginosa
TFCN_25-337Y-1,SUP_76,24.73746177,1.0,25-337Y-1,Rhodotorula mucilaginosa
TFCN_25-395P-1,SUP_18,22.33554954,1.0,25-395P-1,Rhodotorula mucilaginosa
TFCN_270H-1,SUP_40,24.28877732,1.0,270H-1,Rhodotorula mucilaginosa
TFCN_270H-2,SUP_49,21.02843845,1.0,270H-2,Rhodotorula mucilaginosa
TFCN_273H-1,SUP_106,21.21164228,1.0,273H-1,Rhodotorula mucilaginosa
TFCN_2M-1-4,SUP_30,22.34794577,1.0,2M-1-4,Rhodotorula mucilaginosa
TFCN_33A-4,SUP_42,18.52114955,1.0,33A-4,Rhodotorula mucilaginosa
TFCN_340-1,SUP_33,23.18669013,1.0,340-1,Rhodotorula mucilaginosa
TFCN_340-3,SUP_31,22.67611241,1.0,340-3,Rhodotorula mucilaginosa
TFCN_342-3,SUP_148,23.46499789,1.0,342-3,Rhodotorula mucilaginosa
TFCN_357-1,SUP_118,14.44814911,1.0,357-1,Rhodotorula taiwanensis
TFCN_363-1-2,SUP_127,22.71647793,1.0,363-1-2,Rhodotorula mucilaginosa
TFCN_3M-1-1,SUP_15,23.10906211,1.0,3M-1-1,Rhodotorula mucilaginosa
TFCN_404D-1,SUP_100,25.66596149,1.0,404D-1,Rhodotorula mucilaginosa
TFCN_43A-4,SUP_46,23.68053102,1.0,43A-4,Rhodotorula paludigena
TFCN_48A-15,SUP_37,20.63184716,1.0,48A-15,Rhodotorula paludigena
TFCN_48A-2,SUP_156,21.81751424,1.0,48A-2,Rhodotorula paludigena
TFCN_48D-10,SUP_93,20.66056655,1.0,48D-10,Rhodotorula paludigena
TFCN_4M-1-2,SUP_21,23.43240469,1.0,4M-1-2,Rhodotorula mucilaginosa
TFCN_4M-1-3,SUP_12,23.96067975,1.0,4M-1-3,Rhodotorula mucilaginosa
TFCN_4M-1-4,SUP_98,22.90995384,1.0,4M-1-4,Rhodotorula mucilaginosa
TFCN_4M-1-5,SUP_89,24.04616918,1.0,4M-1-5,Rhodotorula mucilaginosa
TFCN_54D-2,SUP_113,25.1830412,1.0,54D-2,Rhodotorula mucilaginosa
TFCN_7-9-2,SUP_44,17.87371848,1.0,7-9-2,Rhodotorula diobovata
TFCN_7-9-3,SUP_17,16.99804419,1.0,7-9-3,Rhodotorula diobovata
TFCN_7W-292-3,SUP_71,23.27111075,1.0,7W-292-3,Rhodotorula dairenensis
TFCN_86A-3,SUP_95,24.36816263,1.0,86A-3,Rhodotorula mucilaginosa
TFCN_86A-6,SUP_136,20.11131803,1.0,86A-6,Rhodotorula sphaerocarpa
TFCN_86A-8,SUP_149,22.70086167,1.0,86A-8,Rhodotorula sphaerocarpa
TFCN_86C-9,SUP_10,22.1269168,1.0,86C-9,Rhodotorula sphaerocarpa
TFCN_89D-3,SUP_72,22.64096084,1.0,89D-3,Rhodotorula mucilaginosa
TFCN_98A-10,SUP_124,21.0851418,1.0,98A-10,Rhodotorula mucilaginosa
TFCN_98A-5,SUP_3,25.06620526,1.0,98A-5,Rhodotorula mucilaginosa
TFCN_98C-3,SUP_133,23.96510638,1.0,98C-3,Rhodotorula mucilaginosa
TFCN_98C-5,SUP_81,23.48785269,1.0,98C-5,Rhodotorula mucilaginosa
TFCN_98C-7,SUP_79,22.66448246,1.0,98C-7,Rhodotorula mucilaginosa
TFCN_98C-8,SUP_109,23.01017548,1.0,98C-8,Rhodotorula mucilaginosa
TFCN_98D-11,SUP_57,25.04280379,1.0,98D-11,Rhodotorula mucilaginosa
TFCN_98D-7,SUP_151,25.0002092,1.0,98D-7,Rhodotorula mucilaginosa
TFCN_98D-9,SUP_142,24.78578375,1.0,98D-9,Rhodotorula mucilaginosa
TFCN_S22D-1,SUP_92,15.56565262,1.0,S22D-1,Rhodotorula taiwanensis
