SAMPLE_NAME,sample_id,mean_auc_rate,Library Plate,strain_id,species
DBVPG_10075,SUP_275,23.04426156,1.0,DBVPG_10075,Cystobasidium sp.
DBVPG_10348,SUP_302,20.48869778,1.0,DBVPG_10348,Rhodotorula sp. clade XI
DBVPG_10383,SUP_311,6.090803432,1.0,DBVPG_10383,Rhodotorula kratochvilovae
DBVPG_10619,SUP_317,23.11930936,1.0,DBVPG_10619,Rhodotorula mucilaginosa
DBVPG_10753,SUP_284,7.930578463,1.0,DBVPG_10753,Rhodotorula kratochvilovae
DBVPG_10780,SUP_293,21.50649406,1.0,DBVPG_10780,Rhodotorula mucilaginosa
DBVPG_10842,SUP_268,25.3874702,1.0,DBVPG_10842,Rhodotorula mucilaginosa
DBVPG_10882,SUP_277,19.87415163,1.0,DBVPG_10882,Rhodotorula mucilaginosa
DBVPG_10886,SUP_286,17.90002517,1.0,DBVPG_10886,Rhodotorula mucilaginosa
DBVPG_10937,SUP_295,23.11374415,1.0,DBVPG_10937,Rhodotorula mucilaginosa
DBVPG_3044,SUP_201,13.9927273,1.0,DBVPG_3044,Rhodotorula mucilaginosa
DBVPG_3045,SUP_210,20.6145797,1.0,DBVPG_3045,Rhodotorula mucilaginosa
DBVPG_3090,SUP_219,25.55786635,1.0,DBVPG_3090,Rhodotorula mucilaginosa
DBVPG_3235,SUP_228,21.31939289,1.0,DBVPG_3235,Rhodotorula mucilaginosa
DBVPG_3236,SUP_249,2.486686985,1.0,DBVPG_3236,Rhodotorula mucilaginosa
DBVPG_3237,SUP_237,24.78611094,1.0,DBVPG_3237,Rhodotorula mucilaginosa
DBVPG_3238,SUP_166,19.97167451,1.0,DBVPG_3238,Rhodotorula mucilaginosa
DBVPG_3239,SUP_175,16.91168588,1.0,DBVPG_3239,Rhodotorula mucilaginosa
DBVPG_3381,SUP_193,29.83526913,1.0,DBVPG_3381,Rhodotorula mucilaginosa
DBVPG_3382,SUP_202,26.11511933,1.0,DBVPG_3382,Rhodotorula mucilaginosa
DBVPG_3383,SUP_211,25.01741785,1.0,DBVPG_3383,Rhodotorula mucilaginosa
DBVPG_3384,SUP_220,23.70708552,1.0,DBVPG_3384,Rhodotorula mucilaginosa
DBVPG_3442,SUP_229,23.1692715,1.0,DBVPG_3442,Rhodotorula mucilaginosa
DBVPG_3443,SUP_238,23.91237763,1.0,DBVPG_3443,Rhodotorula mucilaginosa
DBVPG_3444,SUP_167,21.31550249,1.0,DBVPG_3444,Rhodotorula mucilaginosa
DBVPG_3445,SUP_258,23.91259332,1.0,DBVPG_3445,Rhodotorula mucilaginosa
DBVPG_3446,SUP_267,23.13832603,1.0,DBVPG_3446,Rhodotorula mucilaginosa
DBVPG_3538,SUP_176,27.09063995,1.0,DBVPG_3538,Rhodotorula mucilaginosa
DBVPG_3768,SUP_185,17.20135239,1.0,DBVPG_3768,Rhodotorula dairenensis
DBVPG_3769,SUP_194,27.75326403,1.0,DBVPG_3769,Rhodotorula dairenensis
DBVPG_3770,SUP_203,18.21835666,1.0,DBVPG_3770,Rhodotorula dairenensis
DBVPG_3772,SUP_221,22.23849117,1.0,DBVPG_3772,Rhodotorula dairenensis
DBVPG_3773,SUP_230,22.25502792,1.0,DBVPG_3773,Rhodotorula dairenensis
DBVPG_3774,SUP_239,25.47508748,1.0,DBVPG_3774,Rhodotorula mucilaginosa
DBVPG_3775,SUP_168,22.19352432,1.0,DBVPG_3775,Rhodotorula mucilaginosa
DBVPG_3776,SUP_177,27.47656897,1.0,DBVPG_3776,Rhodotorula mucilaginosa
DBVPG_3777,SUP_186,26.03573514,1.0,DBVPG_3777,Rhodotorula mucilaginosa
DBVPG_3778,SUP_276,22.87816217,1.0,DBVPG_3778,Rhodotorula mucilaginosa
DBVPG_3780,SUP_285,23.77218526,1.0,DBVPG_3780,Rhodotorula mucilaginosa
DBVPG_3854,SUP_204,20.44144313,1.0,DBVPG_3854,Rhodotorula mucilaginosa
DBVPG_3855,SUP_213,17.56352971,1.0,DBVPG_3855,Rhodotorula mucilaginosa
DBVPG_3856,SUP_222,23.0022899,1.0,DBVPG_3856,Rhodotorula mucilaginosa
DBVPG_3857,SUP_231,19.4866078,1.0,DBVPG_3857,Rhodotorula mucilaginosa
DBVPG_3858,SUP_240,29.07634131,1.0,DBVPG_3858,Rhodotorula mucilaginosa
DBVPG_3983,SUP_169,23.20333167,1.0,DBVPG_3983,Rhodotorula mucilaginosa
DBVPG_3984,SUP_178,29.25470184,1.0,DBVPG_3984,Rhodotorula mucilaginosa
DBVPG_3985,SUP_187,0.806417566,1.0,DBVPG_3985,Rhodotorula glutinis
DBVPG_4201,SUP_196,26.74685287,1.0,DBVPG_4201,Rhodotorula mucilaginosa
DBVPG_4202,SUP_205,25.62148454,1.0,DBVPG_4202,Rhodotorula mucilaginosa
DBVPG_4203,SUP_214,25.43359778,1.0,DBVPG_4203,Rhodotorula mucilaginosa
DBVPG_4304,SUP_223,24.97061722,1.0,DBVPG_4304,Rhodotorula mucilaginosa
DBVPG_4376,SUP_232,21.5740374,1.0,DBVPG_4376,Rhodotorula mucilaginosa
DBVPG_4378,SUP_170,22.46932495,1.0,DBVPG_4378,Rhodotorula mucilaginosa
DBVPG_4379,SUP_179,19.84718142,1.0,DBVPG_4379,Rhodotorula mucilaginosa
DBVPG_4380,SUP_188,20.38654859,1.0,DBVPG_4380,Rhodotorula mucilaginosa
DBVPG_4408,SUP_197,20.26167224,1.0,DBVPG_4408,Rhodotorula mucilaginosa
DBVPG_4466,SUP_206,24.32180507,1.0,DBVPG_4466,Rhodotorula mucilaginosa
DBVPG_4530,SUP_215,7.734929112,1.0,DBVPG_4530,Rhodotorula taiwanensis
