feature_index,row_id,mz,rt_min,charge,adduct,adduct_rep_file,rep_file_source,mzml_path,has_ms2
195,205,400.735500,2.010054,2,[M+2H]2+,SUP_72.mzML,mzmine_adduct_rep_file,/bigdata/stajichlab/shared/projects/Rhodotorula/Rhodotorula_Metabolites/ExFab_Supernatant/SUP_72.mzML,true
3043,3663,279.169800,1.351892,1,[M+H]1+,SUP_205.mzML,max_sup_peak_area_fallback,/bigdata/stajichlab/shared/projects/Rhodotorula/Rhodotorula_Metabolites/ExFab_Supernatant/SUP_205.mzML,true
9421,14095,800.464700,2.048744,1,[M+NH3+H]1+,SUP_187.mzML,mzmine_adduct_rep_file,/bigdata/stajichlab/shared/projects/Rhodotorula/Rhodotorula_Metabolites/ExFab_Supernatant/SUP_187.mzML,true
1159,1351,392.222400,2.024000,2,[M+2H]2+,SUP_187.mzML,mzmine_adduct_rep_file,/bigdata/stajichlab/shared/projects/Rhodotorula/Rhodotorula_Metabolites/ExFab_Supernatant/SUP_187.mzML,true
1121,1307,1414.752600,2.602248,1,[M+H]1+,SUP_270.mzML,mzmine_adduct_rep_file,/bigdata/stajichlab/shared/projects/Rhodotorula/Rhodotorula_Metabolites/ExFab_Supernatant/SUP_270.mzML,true
1359,1589,358.269200,1.949000,1,[M+H]1+,SUP_205.mzML,max_sup_peak_area_fallback,/bigdata/stajichlab/shared/projects/Rhodotorula/Rhodotorula_Metabolites/ExFab_Supernatant/SUP_205.mzML,true
53,54,394.717000,1.169239,2,[M+2H]2+,SUP_321.mzML,mzmine_adduct_rep_file,/bigdata/stajichlab/shared/projects/Rhodotorula/Rhodotorula_Metabolites/ExFab_Supernatant/SUP_321.mzML,true
175,182,614.349000,1.437160,1,[M+H]1+,SUP_46.mzML,mzmine_adduct_rep_file,/bigdata/stajichlab/shared/projects/Rhodotorula/Rhodotorula_Metabolites/ExFab_Supernatant/SUP_46.mzML,true
2058,2441,802.469900,2.024000,1,[M+H]1+,SUP_72.mzML,mzmine_adduct_rep_file,/bigdata/stajichlab/shared/projects/Rhodotorula/Rhodotorula_Metabolites/ExFab_Supernatant/SUP_72.mzML,true
2468,2951,392.724000,2.015000,2,[M+2H]2+,SUP_187.mzML,mzmine_adduct_rep_file,/bigdata/stajichlab/shared/projects/Rhodotorula/Rhodotorula_Metabolites/ExFab_Supernatant/SUP_187.mzML,true
90,92,581.812700,1.142532,2,[M+2H]2+,SUP_38.mzML,mzmine_adduct_rep_file,/bigdata/stajichlab/shared/projects/Rhodotorula/Rhodotorula_Metabolites/ExFab_Supernatant/SUP_38.mzML,true
200,210,383.277800,5.140000,1,[M-2H2O+H]1+,SUP_149.mzML,mzmine_adduct_rep_file,/bigdata/stajichlab/shared/projects/Rhodotorula/Rhodotorula_Metabolites/ExFab_Supernatant/SUP_149.mzML,true
159,164,743.391000,1.567084,1,[M+H]1+,SUP_46.mzML,mzmine_adduct_rep_file,/bigdata/stajichlab/shared/projects/Rhodotorula/Rhodotorula_Metabolites/ExFab_Supernatant/SUP_46.mzML,true
203,214,531.350600,5.409000,1,[M+H]1+,C_71.mzML,mzmine_adduct_rep_file,/bigdata/stajichlab/shared/projects/Rhodotorula/Rhodotorula_Metabolites/mzML/C_71.mzML,true
261,278,760.358000,0.883484,2,[M+2H]2+,SUP_46.mzML,max_sup_peak_area_fallback,/bigdata/stajichlab/shared/projects/Rhodotorula/Rhodotorula_Metabolites/ExFab_Supernatant/SUP_46.mzML,true
182,191,582.314000,1.142532,1,[M+H]1+,SUP_38.mzML,max_sup_peak_area_fallback,/bigdata/stajichlab/shared/projects/Rhodotorula/Rhodotorula_Metabolites/ExFab_Supernatant/SUP_38.mzML,true
179,187,395.218600,1.178241,2,[M+2H]2+,SUP_321.mzML,mzmine_adduct_rep_file,/bigdata/stajichlab/shared/projects/Rhodotorula/Rhodotorula_Metabolites/ExFab_Supernatant/SUP_321.mzML,true
370,399,639.326000,1.468286,2,[M+2H]2+,SUP_45.mzML,mzmine_adduct_rep_file,/bigdata/stajichlab/shared/projects/Rhodotorula/Rhodotorula_Metabolites/ExFab_Supernatant/SUP_45.mzML,true
348,374,395.219100,1.250979,1,[M+H]1+,SUP_71.mzML,max_sup_peak_area_fallback,/bigdata/stajichlab/shared/projects/Rhodotorula/Rhodotorula_Metabolites/ExFab_Supernatant/SUP_71.mzML,true
324,345,773.380700,2.054799,1,[M+H]1+,SUP_46.mzML,mzmine_adduct_rep_file,/bigdata/stajichlab/shared/projects/Rhodotorula/Rhodotorula_Metabolites/ExFab_Supernatant/SUP_46.mzML,true
292,310,411.215900,1.015802,2,[M+2H]2+,SUP_149.mzML,mzmine_adduct_rep_file,/bigdata/stajichlab/shared/projects/Rhodotorula/Rhodotorula_Metabolites/ExFab_Supernatant/SUP_149.mzML,true
372,401,586.317900,1.111350,1,[M+H]1+,SUP_46.mzML,max_sup_peak_area_fallback,/bigdata/stajichlab/shared/projects/Rhodotorula/Rhodotorula_Metabolites/ExFab_Supernatant/SUP_46.mzML,true
368,395,612.333500,1.078370,1,[M+H]1+,SUP_46.mzML,mzmine_adduct_rep_file,/bigdata/stajichlab/shared/projects/Rhodotorula/Rhodotorula_Metabolites/ExFab_Supernatant/SUP_46.mzML,true
583,653,601.316800,4.876022,1,[M+Na]1+,SUP_71.mzML,mzmine_adduct_rep_file,/bigdata/stajichlab/shared/projects/Rhodotorula/Rhodotorula_Metabolites/ExFab_Supernatant/SUP_71.mzML,true
470,520,541.293600,1.023581,2,[M+2H]2+,SUP_38.mzML,mzmine_adduct_rep_file,/bigdata/stajichlab/shared/projects/Rhodotorula/Rhodotorula_Metabolites/ExFab_Supernatant/SUP_38.mzML,true
1024,1178,559.306800,4.748031,1,[M+Na]1+,SUP_34.mzML,mzmine_adduct_rep_file,/bigdata/stajichlab/shared/projects/Rhodotorula/Rhodotorula_Metabolites/ExFab_Supernatant/SUP_34.mzML,true
576,645,615.352400,1.445155,1,[M+H]1+,SUP_46.mzML,mzmine_adduct_rep_file,/bigdata/stajichlab/shared/projects/Rhodotorula/Rhodotorula_Metabolites/ExFab_Supernatant/SUP_46.mzML,true
14661,39495,394.717500,1.320161,1,[M+H]1+,SUP_71.mzML,max_sup_peak_area_fallback,/bigdata/stajichlab/shared/projects/Rhodotorula/Rhodotorula_Metabolites/ExFab_Supernatant/SUP_71.mzML,true
308,327,411.717000,1.617660,2,[M+2H]2+,SUP_93.mzML,mzmine_adduct_rep_file,/bigdata/stajichlab/shared/projects/Rhodotorula/Rhodotorula_Metabolites/ExFab_Supernatant/SUP_93.mzML,true
554,620,673.349700,1.197300,1,[M+H]1+,SUP_46.mzML,mzmine_adduct_rep_file,/bigdata/stajichlab/shared/projects/Rhodotorula/Rhodotorula_Metabolites/ExFab_Supernatant/SUP_46.mzML,true
4211,5121,292.201200,3.175306,1,[M+H]1+,SUP_68.mzML,max_sup_peak_area_fallback,/bigdata/stajichlab/shared/projects/Rhodotorula/Rhodotorula_Metabolites/ExFab_Supernatant/SUP_68.mzML,true
571,638,386.203800,1.178241,2,[M+2H]2+,SUP_321.mzML,max_sup_peak_area_fallback,/bigdata/stajichlab/shared/projects/Rhodotorula/Rhodotorula_Metabolites/ExFab_Supernatant/SUP_321.mzML,true
1318,1536,681.357100,1.385566,3,[M+3H]3+,SUP_93.mzML,max_sup_peak_area_fallback,/bigdata/stajichlab/shared/projects/Rhodotorula/Rhodotorula_Metabolites/ExFab_Supernatant/SUP_93.mzML,true
901,1036,401.288500,5.271000,1,[M+H]1+,SUP_10.mzML,mzmine_adduct_rep_file,/bigdata/stajichlab/shared/projects/Rhodotorula/Rhodotorula_Metabolites/ExFab_Supernatant/SUP_10.mzML,true
746,848,774.383900,2.054799,1,[M+H]1+,SUP_46.mzML,mzmine_adduct_rep_file,/bigdata/stajichlab/shared/projects/Rhodotorula/Rhodotorula_Metabolites/ExFab_Supernatant/SUP_46.mzML,true
1256,1460,646.355700,2.295938,2,[M+2H]2+,SUP_149.mzML,mzmine_adduct_rep_file,/bigdata/stajichlab/shared/projects/Rhodotorula/Rhodotorula_Metabolites/ExFab_Supernatant/SUP_149.mzML,true
1086,1262,890.412800,2.370515,1,[M+H]1+,SUP_88.mzML,max_sup_peak_area_fallback,/bigdata/stajichlab/shared/projects/Rhodotorula/Rhodotorula_Metabolites/ExFab_Supernatant/SUP_88.mzML,true
1839,2169,402.210500,1.024800,2,[M+2H]2+,SUP_10.mzML,max_sup_peak_area_fallback,/bigdata/stajichlab/shared/projects/Rhodotorula/Rhodotorula_Metabolites/ExFab_Supernatant/SUP_10.mzML,true
1805,2128,602.348100,1.178241,1,[M+H]1+,SUP_321.mzML,max_sup_peak_area_fallback,/bigdata/stajichlab/shared/projects/Rhodotorula/Rhodotorula_Metabolites/ExFab_Supernatant/SUP_321.mzML,true
1068,1239,931.449500,1.769275,1,[M+Na]1+,SUP_38.mzML,mzmine_adduct_rep_file,/bigdata/stajichlab/shared/projects/Rhodotorula/Rhodotorula_Metabolites/ExFab_Supernatant/SUP_38.mzML,true
1010,1159,592.271000,0.854166,1,[M+H]1+,SUP_45.mzML,mzmine_adduct_rep_file,/bigdata/stajichlab/shared/projects/Rhodotorula/Rhodotorula_Metabolites/ExFab_Supernatant/SUP_45.mzML,true
1640,1930,539.290200,1.632332,1,[M+H]1+,SUP_34.mzML,max_sup_peak_area_fallback,/bigdata/stajichlab/shared/projects/Rhodotorula/Rhodotorula_Metabolites/ExFab_Supernatant/SUP_34.mzML,true
6749,8585,679.374700,3.629000,2,[M+2H]2+,SUP_65.mzML,mzmine_adduct_rep_file,/bigdata/stajichlab/shared/projects/Rhodotorula/Rhodotorula_Metabolites/ExFab_Supernatant/SUP_65.mzML,true
6382,8025,524.924200,1.475301,1,[M+H]1+,SUP_326.mzML,max_sup_peak_area_fallback,/bigdata/stajichlab/shared/projects/Rhodotorula/Rhodotorula_Metabolites/ExFab_Supernatant/SUP_326.mzML,true
1200,1399,386.705600,1.152235,2,[M+2H]2+,SUP_321.mzML,max_sup_peak_area_fallback,/bigdata/stajichlab/shared/projects/Rhodotorula/Rhodotorula_Metabolites/ExFab_Supernatant/SUP_321.mzML,true
1049,1211,626.348700,1.325225,1,[M+H]1+,SUP_46.mzML,max_sup_peak_area_fallback,/bigdata/stajichlab/shared/projects/Rhodotorula/Rhodotorula_Metabolites/ExFab_Supernatant/SUP_46.mzML,true
