feature_index,row_id,status,mzml_path,n_candidate_spectra,chosen_scan_id,chosen_tic,rt_window_widened
195,205,exported,/bigdata/stajichlab/shared/projects/Rhodotorula/Rhodotorula_Metabolites/ExFab_Supernatant/SUP_72.mzML,2,controllerType=0 controllerNumber=1 scan=1380,12031654.0078125,False
3043,3663,exported,/bigdata/stajichlab/shared/projects/Rhodotorula/Rhodotorula_Metabolites/ExFab_Supernatant/SUP_205.mzML,1,controllerType=0 controllerNumber=1 scan=876,150847306.03125,False
9421,14095,exported,/bigdata/stajichlab/shared/projects/Rhodotorula/Rhodotorula_Metabolites/ExFab_Supernatant/SUP_187.mzML,1,controllerType=0 controllerNumber=1 scan=1270,2702001.248046875,False
1159,1351,no_ms2_match,/bigdata/stajichlab/shared/projects/Rhodotorula/Rhodotorula_Metabolites/ExFab_Supernatant/SUP_187.mzML,0,,,True
1121,1307,exported,/bigdata/stajichlab/shared/projects/Rhodotorula/Rhodotorula_Metabolites/ExFab_Supernatant/SUP_270.mzML,1,controllerType=0 controllerNumber=1 scan=1549,3854251.024658203,False
1359,1589,exported,/bigdata/stajichlab/shared/projects/Rhodotorula/Rhodotorula_Metabolites/ExFab_Supernatant/SUP_205.mzML,1,controllerType=0 controllerNumber=1 scan=1243,18573785.61328125,False
53,54,exported,/bigdata/stajichlab/shared/projects/Rhodotorula/Rhodotorula_Metabolites/ExFab_Supernatant/SUP_321.mzML,2,controllerType=0 controllerNumber=1 scan=556,55824351.642578125,False
175,182,exported,/bigdata/stajichlab/shared/projects/Rhodotorula/Rhodotorula_Metabolites/ExFab_Supernatant/SUP_46.mzML,2,controllerType=0 controllerNumber=1 scan=702,15853252.216796875,False
2058,2441,no_ms2_match,/bigdata/stajichlab/shared/projects/Rhodotorula/Rhodotorula_Metabolites/ExFab_Supernatant/SUP_72.mzML,0,,,True
2468,2951,no_ms2_match,/bigdata/stajichlab/shared/projects/Rhodotorula/Rhodotorula_Metabolites/ExFab_Supernatant/SUP_187.mzML,0,,,True
90,92,exported,/bigdata/stajichlab/shared/projects/Rhodotorula/Rhodotorula_Metabolites/ExFab_Supernatant/SUP_38.mzML,2,controllerType=0 controllerNumber=1 scan=558,118759400.65625,False
