structurePerIdRank	formulaRank	ConfidenceScoreExact	ConfidenceScoreApproximate	CSI:FingerIDScore	ZodiacScore	SiriusScoreNormalized	SiriusScore	molecularFormula	adduct	precursorFormula	InChIkey2D	InChI	name	smiles	xlogp	pubchemids	links	dbflags	ionMass	retentionTimeInSeconds	retentionTimeInMinutes	formulaId	alignedFeatureId	compoundId	mappingFeatureId	overallFeatureQuality
1	5	0.317	0.317	-352.697		0.002	52.374	C13H27N3O6	[M + K]+	C13H27KN3O6+	ONKJLIUSEXIAKL	InChI=1S/C13H27N3O6/c1-13(20)4-21-12(9(19)11(13)16-2)22-10-6(15)3-5(14)7(17)8(10)18/h5-12,16-20H,3-4,14-15H2,1-2H3	Garamine	CC1(COC(C(C1NC)O)OC2C(CC(C(C2O)O)N)N)O	-4.300	14699894;14699895;163057542;163057543;155890532;124220094;96361131;96361132;96361133;3084905;68233019;71317041	COCONUT:(CNP0344278);SUPERNATURAL:(SN0270214);MESH:(14699894 14699895 124220094);PUBCHEM:(14699894 14699895 163057542 163057543 155890532 124220094 96361131 96361132 96361133 3084905 68233019 71317041);DSSTox:(DTXSID30964388);LOTUS:(Q75059640 Q105194839);PUBMED	137710534726	360.149	39	0.646	875212867068500760	875212846264752890	875212846256364281	42268	
1	4	0.052	0.052	-286.235		0.033	32.393	C35H52N2O4	[M + H]+	C35H53N2O4+	WJVZNBSRSFOGJV	InChI=1S/C35H52N2O4/c1-5-21-34(40,22-6-2)29(27-17-11-9-12-18-27)36-31(38)33(25-15-16-26-33)32(39)37-30(28-19-13-10-14-20-28)35(41,23-7-3)24-8-4/h9-14,17-20,29-30,40-41H,5-8,15-16,21-26H2,1-4H3,(H,36,38)(H,37,39)	1-N,1-N'-bis[(1R)-2-hydroxy-1-phenyl-2-propylpentyl]cyclopentane-1,1-dicarboxamide	CCCC(CCC)(C(C1=CC=CC=C1)NC(=O)C2(CCCC2)C(=O)NC(C3=CC=CC=C3)C(CCC)(CCC)O)O	6.900	66923655	PUBCHEM:(66923655)	2	565.406	343	5.720	875212863209741059	875212846138923762	875212846109563633	21315	
1	4	0.027	0.027	-390.255		0.034	77.993	C33H54N2O4	[M + Na]+	C33H54N2NaO4+	CSXHRHGXNQSNQW	InChI=1S/C33H54N2O4/c1-22(36)38-30-19-24-11-12-25-26(33(24,4)21-29(30)35-17-9-6-10-18-35)13-14-32(3)27(25)20-28(31(32)39-23(2)37)34-15-7-5-8-16-34/h24-31H,5-21H2,1-4H3	[(3S,5S,8R,10S,13S,14S,16S,17R)-17-acetyloxy-10,13-dimethyl-2,16-di(piperidin-1-yl)-2,3,4,5,6,7,8,9,11,12,14,15,16,17-tetradecahydro-1H-cyclopenta[a]phenanthren-3-yl] acetate	CC(=O)OC1CC2CCC3C(C2(CC1N4CCCCC4)C)CCC5(C3CC(C5OC(=O)C)N6CCCCC6)C	6.500	118666733;154790164;53487856;53738504;154407168;14029440;14029441;70926949;143209799;71695616;45108239;122130536	PUBCHEMANNOTATIONSAFETYANDTOXIC;PUBCHEM:(118666733 154790164 53487856 53738504 154407168 14029440 14029441 70926949 143209799 71695616 45108239 122130536);DSSTox:(DTXSID201133509)	137506062338	565.398	381	6.352	875212866850396941	875212846243781366	875212846235392757	26444	
