formulaRank	molecularFormula	adduct	precursorFormula	NPC#pathway	NPC#pathway Probability	NPC#superclass	NPC#superclass Probability	NPC#class	NPC#class Probability	ClassyFire#superclass	ClassyFire#superclass probability	ClassyFire#class	ClassyFire#class Probability	ClassyFire#subclass	ClassyFire#subclass Probability	ClassyFire#level 5	ClassyFire#level 5 Probability	ClassyFire#most specific class	ClassyFire#most specific class Probability	ClassyFire#all classifications	ionMass	retentionTimeInSeconds	retentionTimeInMinutes	formulaId	alignedFeatureId	compoundId	mappingFeatureId	overallFeatureQuality
1	C12H25NO11	[M + H]+	C12H26NO11+	Amino acids and Peptides	0.962	Amino acid glycosides	0.997	Cyanogenic glycosides	0.996	Organic oxygen compounds	1.000	Organooxygen compounds	1.000	Carbohydrates and carbohydrate conjugates	0.999	Glycosyl compounds	0.990	Cyanogenic glycosides	0.884	Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Alcohols and polyols; Ethers; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Nitriles; Disaccharides; Acetals; Secondary alcohols; Oxanes; Glycosyl compounds; O-glycosyl compounds; Polyols; Cyanogenic glycosides; Oxacyclic compounds; Hydrocarbon derivatives; Organic cyanides; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	360.149	39	0.646	875212867068500756	875212846264752890	875212846256364281	42268	
1	C29H52N6O5	[M + H]+	C29H53N6O5+	Fatty acids	0.858	Oligopeptides	0.437	Lipopeptides	0.078	Organic acids and derivatives	0.984	Carboxylic acids and derivatives	0.950	Amino acids, peptides, and analogues	0.783	Amino acids and derivatives	0.764	Amino acids and derivatives	0.764	Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Fatty amides; Amino acids and derivatives; Monoalkylamines; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; Secondary carboxylic acid amides; Carbonyl compounds; Amines; Primary amines; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	565.406	343	5.720	875212863209741056	875212846138923762	875212846109563633	21315	
1	C30H52N4O6	[M + H]+	C30H53N4O6+	Amino acids and Peptides	0.707	Linear polyketides	0.378	Open-chain polyketides	0.221	Organic acids and derivatives	0.995	Carboxylic acids and derivatives	0.980	Amino acids, peptides, and analogues	0.745	Amino acids and derivatives	0.730	Amino acids and derivatives	0.730	Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Amino acids and derivatives; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; Monocarboxylic acids and derivatives; Secondary alcohols; Secondary carboxylic acid amides; Carbonyl compounds; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	565.398	381	6.352	875212866850396938	875212846243781366	875212846235392757	26444	
