formulaRank	molecularFormula	adduct	precursorFormula	NPC#pathway	NPC#pathway Probability	NPC#superclass	NPC#superclass Probability	NPC#class	NPC#class Probability	ClassyFire#superclass	ClassyFire#superclass probability	ClassyFire#class	ClassyFire#class Probability	ClassyFire#subclass	ClassyFire#subclass Probability	ClassyFire#level 5	ClassyFire#level 5 Probability	ClassyFire#most specific class	ClassyFire#most specific class Probability	ClassyFire#all classifications	ionMass	retentionTimeInSeconds	retentionTimeInMinutes	formulaId	alignedFeatureId	compoundId	mappingFeatureId	overallFeatureQuality
5	C13H27N3O6	[M + K]+	C13H27KN3O6+	Carbohydrates	0.981	Aminosugars and aminoglycosides	0.944	Aminosugars	0.713	Organic acids and derivatives	0.661	Carboxylic acids and derivatives	0.528	Amino acids, peptides, and analogues	0.577	Amino acids and derivatives	0.577	Amino acids and derivatives	0.577	Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alcohols and polyols; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Amino acids and derivatives; Monoalkylamines; Hexoses; Monosaccharides; Secondary alcohols; Carbonyl compounds; Oxanes; Glycosyl compounds; Polyols; Amines; Primary amines; Fatty Acyls; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	360.149	39	0.646	875212867068500760	875212846264752890	875212846256364281	42268	
4	C35H52N2O4	[M + H]+	C35H53N2O4+	Alkaloids	0.447	Ornithine alkaloids	0.512	Polyamines	0.525	Organic acids and derivatives	0.993	Carboxylic acids and derivatives	0.971	Amino acids, peptides, and analogues	0.602	Amino acids and derivatives	0.599	Amino acids and derivatives	0.599	Organic compounds; Amino acids, peptides, and analogues; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Carboxylic acid amides; Carboxylic acid derivatives; Secondary carboxylic acid amides; Carbonyl compounds; Benzene and substituted derivatives; Benzenoids; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	565.406	343	5.720	875212863209741059	875212846138923762	875212846109563633	21315	
4	C33H54N2O4	[M + Na]+	C33H54N2NaO4+	Fatty acids	0.335	Macrolides	0.256	Open-chain polyketides	0.344	Lipids and lipid-like molecules	0.862	Steroids and steroid derivatives	0.603					Steroids and steroid derivatives	0.603	Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alcohols and polyols; Steroids and steroid derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Carboxylic acid amides; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Secondary alcohols; Secondary carboxylic acid amides; Carbonyl compounds; Amines; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	565.398	381	6.352	875212866850396941	875212846243781366	875212846235392757	26444	
