SAMPLE_NAME,sample_id,mean_auc_rate,Library Plate,strain_id,species
DBVPG_3444,C_167,21.31550249,2.0,DBVPG_3444,Rhodotorula mucilaginosa
DBVPG_3445,C_258,23.91259332,3.0,DBVPG_3445,Rhodotorula mucilaginosa
DBVPG_3446,C_267,23.13832603,4.0,DBVPG_3446,Rhodotorula mucilaginosa
DBVPG_3538,C_176,27.09063995,3.0,DBVPG_3538,Rhodotorula mucilaginosa
DBVPG_3768,C_185,17.20135239,3.0,DBVPG_3768,Rhodotorula dairenensis
DBVPG_3769,C_194,27.75326403,3.0,DBVPG_3769,Rhodotorula dairenensis
DBVPG_3770,C_203,18.21835666,3.0,DBVPG_3770,Rhodotorula dairenensis
DBVPG_3772,C_221,22.23849117,3.0,DBVPG_3772,Rhodotorula dairenensis
DBVPG_3773,C_230,22.25502792,3.0,DBVPG_3773,Rhodotorula dairenensis
DBVPG_3774,C_239,25.47508748,3.0,DBVPG_3774,Rhodotorula mucilaginosa
DBVPG_3775,C_168,22.19352432,2.0,DBVPG_3775,Rhodotorula mucilaginosa
DBVPG_3776,C_177,27.47656897,3.0,DBVPG_3776,Rhodotorula mucilaginosa
DBVPG_3777,C_186,26.03573514,3.0,DBVPG_3777,Rhodotorula mucilaginosa
DBVPG_3778,C_276,22.87816217,4.0,DBVPG_3778,Rhodotorula mucilaginosa
DBVPG_3780,C_285,23.77218526,4.0,DBVPG_3780,Rhodotorula mucilaginosa
DBVPG_3854,C_204,20.44144313,3.0,DBVPG_3854,Rhodotorula mucilaginosa
DBVPG_3855,C_213,17.56352971,3.0,DBVPG_3855,Rhodotorula mucilaginosa
DBVPG_3856,C_222,23.0022899,3.0,DBVPG_3856,Rhodotorula mucilaginosa
DBVPG_3857,C_231,19.4866078,3.0,DBVPG_3857,Rhodotorula mucilaginosa
DBVPG_3858,C_240,29.07634131,3.0,DBVPG_3858,Rhodotorula mucilaginosa
DBVPG_3983,C_169,23.20333167,2.0,DBVPG_3983,Rhodotorula mucilaginosa
DBVPG_3984,C_178,29.25470184,3.0,DBVPG_3984,Rhodotorula mucilaginosa
DBVPG_3985,C_187,0.806417566,3.0,DBVPG_3985,Rhodotorula glutinis
DBVPG_4201,C_196,26.74685287,3.0,DBVPG_4201,Rhodotorula mucilaginosa
DBVPG_4202,C_205,25.62148454,3.0,DBVPG_4202,Rhodotorula mucilaginosa
DBVPG_4203,C_214,25.43359778,3.0,DBVPG_4203,Rhodotorula mucilaginosa
DBVPG_4304,C_223,24.97061722,3.0,DBVPG_4304,Rhodotorula mucilaginosa
DBVPG_4376,C_232,21.5740374,3.0,DBVPG_4376,Rhodotorula mucilaginosa
DBVPG_4378,C_170,22.46932495,2.0,DBVPG_4378,Rhodotorula mucilaginosa
DBVPG_4379,C_179,19.84718142,3.0,DBVPG_4379,Rhodotorula mucilaginosa
DBVPG_4380,C_188,20.38654859,3.0,DBVPG_4380,Rhodotorula mucilaginosa
DBVPG_4408,C_197,20.26167224,3.0,DBVPG_4408,Rhodotorula mucilaginosa
DBVPG_4466,C_206,24.32180507,3.0,DBVPG_4466,Rhodotorula mucilaginosa
DBVPG_4530,C_215,7.734929112,3.0,DBVPG_4530,Rhodotorula taiwanensis
DBVPG_4531,C_224,9.787060205,3.0,DBVPG_4531,Rhodotorula taiwanensis
DBVPG_4534,C_233,18.28030265,3.0,DBVPG_4534,Rhodotorula mucilaginosa
DBVPG_4618,C_171,16.50590093,2.0,DBVPG_4618,Rhodotorula mucilaginosa
DBVPG_4669,C_189,24.00352902,3.0,DBVPG_4669,Rhodotorula mucilaginosa
DBVPG_4920,C_198,20.93218639,3.0,DBVPG_4920,Rhodotorula mucilaginosa
DBVPG_4945,C_207,25.51658548,3.0,DBVPG_4945,Rhodotorula mucilaginosa
DBVPG_4946,C_216,25.10678564,3.0,DBVPG_4946,Rhodotorula mucilaginosa
DBVPG_4947,C_225,29.32687081,3.0,DBVPG_4947,Rhodotorula mucilaginosa
DBVPG_4949,C_234,22.35962909,3.0,DBVPG_4949,Rhodotorula mucilaginosa
DBVPG_4956,C_253,24.30947492,3.0,DBVPG_4956,Rhodotorula mucilaginosa
DBVPG_4957,C_262,23.32944024,4.0,DBVPG_4957,Rhodotorula mucilaginosa
DBVPG_4958,C_271,19.57003458,4.0,DBVPG_4958,Rhodotorula mucilaginosa
DBVPG_4962,C_280,24.83513627,4.0,DBVPG_4962,Rhodotorula mucilaginosa
DBVPG_4963,C_289,23.21289994,4.0,DBVPG_4963,Rhodotorula mucilaginosa
DBVPG_4964,C_298,16.21948858,4.0,DBVPG_4964,Rhodotorula mucilaginosa
DBVPG_5225,C_307,24.13093889,4.0,DBVPG_5225,Rhodotorula mucilaginosa
DBVPG_5226,C_313,27.48222749,4.0,DBVPG_5226,Rhodotorula mucilaginosa
DBVPG_5227,C_245,22.56044183,3.0,DBVPG_5227,Rhodotorula mucilaginosa
DBVPG_5228,C_254,23.42394362,3.0,DBVPG_5228,Rhodotorula mucilaginosa
DBVPG_5229,C_263,21.72444256,4.0,DBVPG_5229,Rhodotorula mucilaginosa
DBVPG_5235,C_272,24.8936214,4.0,DBVPG_5235,Rhodotorula mucilaginosa
DBVPG_5236,C_281,23.46507539,4.0,DBVPG_5236,Rhodotorula mucilaginosa
DBVPG_5757,C_290,18.16158768,4.0,DBVPG_5757,Rhodotorula mucilaginosa
DBVPG_5758,C_299,21.50761609,4.0,DBVPG_5758,Rhodotorula mucilaginosa
DBVPG_5759,C_308,19.2848049,4.0,DBVPG_5759,Rhodotorula mucilaginosa
DBVPG_6081,C_314,20.5027828,4.0,DBVPG_6081,Rhodotorula glutinis
DBVPG_6083,C_294,17.64377574,4.0,DBVPG_6083,Rhodotorula graminis
DBVPG_6091,C_246,24.91900263,3.0,DBVPG_6091,Rhodotorula mucilaginosa
DBVPG_6092,C_303,21.60916696,4.0,DBVPG_6092,Rhodotorula mucilaginosa
DBVPG_6093,C_255,18.5472794,3.0,DBVPG_6093,Rhodotorula mucilaginosa
DBVPG_6094,C_264,23.34784241,4.0,DBVPG_6094,Rhodotorula mucilaginosa
DBVPG_6121,C_273,23.43875194,4.0,DBVPG_6121,Rhodotorula toruloides
DBVPG_6195,C_282,16.42027428,4.0,DBVPG_6195,Rhodotorula diobovata
DBVPG_6202,C_291,19.98733447,4.0,DBVPG_6202,Rhodotorula diobovata
DBVPG_6593,C_300,23.32772859,4.0,DBVPG_6593,Rhodotorula mucilaginosa
DBVPG_6649,C_309,21.85610375,4.0,DBVPG_6649,Rhodotorula mucilaginosa
DBVPG_6739,C_247,21.01335697,3.0,DBVPG_6739,Rhodotorula toruloides
DBVPG_6740,C_312,21.36406731,4.0,DBVPG_6740,Pseudomicrostroma phylloplanum
DBVPG_6741,C_318,24.08741772,4.0,DBVPG_6741,Rhodotorula mucilaginosa
DBVPG_6742,C_256,25.11841147,3.0,DBVPG_6742,Rhodotorula mucilaginosa
DBVPG_6743,C_265,25.04456603,4.0,DBVPG_6743,Rhodotorula mucilaginosa
DBVPG_6803,C_274,22.32252704,4.0,DBVPG_6803,Rhodotorula mucilaginosa
DBVPG_7019,C_283,23.42592417,4.0,DBVPG_7019,Rhodotorula mucilaginosa
DBVPG_7021,C_292,10.55209411,4.0,DBVPG_7021,Rhodotorula graminis
DBVPG_7316,C_250,24.35055475,3.0,DBVPG_7316,Rhodotorula paludigena
DBVPG_7323,C_301,13.8155065,4.0,DBVPG_7323,Rhodotorula paludigena
DBVPG_7539,C_310,7.639441236,4.0,DBVPG_7539,Rhodotorula kratochvilovae
DBVPG_7947,C_248,17.5243069,3.0,DBVPG_7947,Rhodotorula sp. clade XIII
DBVPG_8043,C_257,25.18338189,3.0,DBVPG_8043,Rhodotorula mucilaginosa
DBVPG_8058,C_266,23.96362788,4.0,DBVPG_8058,Rhodotorula sp. clade I
NRRL_Y-12923,C_325,17.06994616,4.0,Y-12923,Rhodotorula paludigena
NRRL_Y-17376,C_326,15.41133812,4.0,Y-17376,Rhodotorula araucariae
NRRL_Y-2474,C_320,6.9179384,4.0,Y-2474,Rhodotorula graminis
NRRL_Y-2504,C_321,18.1606126,4.0,Y-2504,Rhodotorula dairenensis
NRRL_Y-2510,C_322,11.81348489,4.0,Y-2510,Rhodotorula mucilaginosa
NRRL_Y-7192,C_323,22.37151148,4.0,Y-7192,Rhodotorula sphaerocarpa
TFCN_0520-4-2-1,C_155,18.40074656,2.0,0520-4-2-1,Rhodotorula taiwanensis
TFCN_0520-4-2-2,C_137,19.93582183,2.0,0520-4-2-2,Rhodotorula taiwanensis
TFCN_100D-1,C_32,21.81549105,1.0,100D-1,Rhodotorula mucilaginosa
TFCN_102C-1,C_99,26.29944363,2.0,102C-1,Rhodotorula mucilaginosa
TFCN_102C-2,C_4,22.47731299,1.0,102C-2,Rhodotorula mucilaginosa
TFCN_102D-1,C_20,21.87794441,1.0,102D-1,Rhodotorula mucilaginosa
TFCN_102D-2,C_161,25.30267401,2.0,102D-2,Rhodotorula mucilaginosa
TFCN_105A-2,C_5,24.19630831,1.0,105A-2,Rhodotorula mucilaginosa
TFCN_106A-1,C_172,24.04070687,2.0,106A-1,Rhodotorula mucilaginosa
TFCN_107A-6,C_8,22.54508341,1.0,107A-6,Rhodotorula mucilaginosa
TFCN_107C-3,C_41,24.65335141,1.0,107C-3,Rhodotorula mucilaginosa
TFCN_118C-2,C_50,22.49559082,1.0,118C-2,Rhodotorula mucilaginosa
TFCN_130D-4,C_14,23.34521089,1.0,130D-4,Rhodotorula mucilaginosa
TFCN_134A-3,C_2,24.46531655,1.0,134A-3,Rhodotorula mucilaginosa
TFCN_137C-3,C_25,24.65058665,1.0,137C-3,Rhodotorula mucilaginosa
TFCN_137D-4,C_75,26.2336752,1.0,137D-4,Rhodotorula mucilaginosa
TFCN_140A-3,C_64,21.58755111,1.0,140A-3,Rhodotorula mucilaginosa
TFCN_141C-2,C_13,25.00870143,1.0,141C-2,Rhodotorula mucilaginosa
TFCN_152A-1,C_158,26.91924418,2.0,152A-1,Rhodotorula mucilaginosa
TFCN_152A-12,C_19,26.46353895,1.0,152A-12,Rhodotorula mucilaginosa
TFCN_152A-2,C_83,23.47743445,1.0,152A-2,Rhodotorula mucilaginosa
TFCN_152A-4,C_96,21.72629878,2.0,152A-4,Rhodotorula toruloides
TFCN_152A-5,C_159,23.46009155,2.0,152A-5,Rhodotorula mucilaginosa
TFCN_152A-6,C_61,20.98684123,1.0,152A-6,Rhodotorula toruloides
TFCN_152C-2,C_141,23.77963901,2.0,152C-2,Rhodotorula toruloides
TFCN_152C-3,C_88,22.99771427,2.0,152C-3,Rhodotorula toruloides
TFCN_152C-5,C_150,22.67638681,2.0,152C-5,Rhodotorula mucilaginosa
TFCN_152C-6,C_105,18.61932605,2.0,152C-6,Rhodotorula toruloides
TFCN_152D-4,C_43,21.37887069,1.0,152D-4,Rhodotorula toruloides
TFCN_152D-6,C_114,18.63038826,2.0,152D-6,Rhodotorula toruloides
TFCN_17-0-2E334-10,C_117,22.39296574,2.0,17-0-2E334-10,Rhodotorula mucilaginosa
TFCN_17-0-2E334-4,C_126,24.86836471,2.0,17-0-2E334-4,Rhodotorula mucilaginosa
TFCN_17-0-2E337-3,C_174,24.65463772,2.0,17-0-2E337-3,Rhodotorula mucilaginosa
TFCN_17-0-2E390-1,C_54,25.20220553,1.0,17-0-2E390-1,Rhodotorula mucilaginosa
TFCN_17-0-2E390-2,C_63,23.99895699,1.0,17-0-2E390-2,Rhodotorula mucilaginosa
TFCN_17-267M-1,C_36,25.26473036,1.0,17-267M-1,Rhodotorula mucilaginosa
TFCN_17-291Y-1,C_1,24.7066069,1.0,17-291Y-1,Rhodotorula mucilaginosa
TFCN_17-325D-2,C_68,24.08676085,1.0,17-325D-2,Rhodotorula mucilaginosa
TFCN_17-325D-4,C_143,25.3925701,2.0,17-325D-4,Rhodotorula mucilaginosa
TFCN_17-325P-1,C_69,25.78418549,1.0,17-325P-1,Rhodotorula mucilaginosa
TFCN_17-328C-3,C_119,22.10189574,2.0,17-328C-3,Rhodotorula sp. clade I
TFCN_17-329Y-4,C_7,22.88277479,1.0,17-329Y-4,Rhodotorula mucilaginosa
TFCN_17-332C-1,C_209,22.97868155,3.0,17-332C-1,Rhodotorula mucilaginosa
TFCN_17-332C-2,C_135,24.18499887,2.0,17-332C-2,Rhodotorula mucilaginosa
TFCN_17-332M-2,C_199,22.97705776,3.0,17-332M-2,Rhodotorula mucilaginosa
TFCN_17-332P-1,C_97,22.75990749,2.0,17-332P-1,Rhodotorula mucilaginosa
TFCN_17-332P-2,C_144,23.91822341,2.0,17-332P-2,Rhodotorula mucilaginosa
TFCN_17-333D-2,C_134,23.5905767,2.0,17-333D-2,Rhodotorula mucilaginosa
TFCN_17-333P-6,C_67,27.28200817,1.0,17-333P-6,Rhodotorula mucilaginosa
TFCN_17-334C-1,C_164,24.67066616,2.0,17-334C-1,Rhodotorula mucilaginosa
TFCN_17-334D-6,C_125,23.98674505,2.0,17-334D-6,Rhodotorula mucilaginosa
TFCN_17-334Y-2,C_6,25.34454032,1.0,17-334Y-2,Rhodotorula mucilaginosa
TFCN_17-334Y-3,C_39,23.21891467,1.0,17-334Y-3,Rhodotorula mucilaginosa
TFCN_17-334Y-5,C_163,24.86708616,2.0,17-334Y-5,Rhodotorula mucilaginosa
TFCN_17-334Y-6,C_120,18.91621303,2.0,17-334Y-6,Rhodotorula diobovata
TFCN_17-337P-5,C_24,25.94201354,1.0,17-337P-5,Rhodotorula mucilaginosa
TFCN_17-338D-3,C_62,27.43164458,1.0,17-338D-3,Rhodotorula mucilaginosa
TFCN_17-390M-1,C_9,24.11197693,1.0,17-390M-1,Rhodotorula mucilaginosa
TFCN_172A-1,C_55,24.78203923,1.0,172A-1,Rhodotorula mucilaginosa
TFCN_17Y-278-1,C_45,24.94435915,1.0,17Y-278-1,Rhodotorula mucilaginosa
TFCN_181A-1,C_183,23.60157614,3.0,181A-1,Rhodotorula mucilaginosa
TFCN_186DK3-2,C_16,23.47963672,1.0,186DK3-2,Rhodotorula sp. clade XI
TFCN_1A-1-2,C_157,22.87270606,2.0,1A-1-2,Rhodotorula paludigena
TFCN_1A-1-3,C_28,25.03112434,1.0,1A-1-3,Rhodotorula pacifica
TFCN_1A-14,C_52,22.56637193,1.0,1A-14,Rhodotorula mucilaginosa
TFCN_1B-1-2,C_80,25.44957378,1.0,1B-1-2,Rhodotorula pacifica
TFCN_209-6-1,C_235,22.16821843,3.0,209-6-1,Rhodotorula mucilaginosa
TFCN_209-6-11,C_22,22.71536613,1.0,209-6-11,Rhodotorula mucilaginosa
TFCN_209-6-12,C_236,24.46378776,3.0,209-6-12,Rhodotorula mucilaginosa
TFCN_209-6-14,C_200,24.58425399,3.0,209-6-14,Rhodotorula mucilaginosa
TFCN_209-6-17,C_74,25.50773362,1.0,209-6-17,Rhodotorula mucilaginosa
TFCN_209-6-2,C_77,24.63154487,1.0,209-6-2,Rhodotorula mucilaginosa
TFCN_209-6-4,C_107,25.81895226,2.0,209-6-4,Rhodotorula mucilaginosa
TFCN_209-6-5,C_66,24.26690358,1.0,209-6-5,Rhodotorula mucilaginosa
TFCN_211A-3,C_53,22.28481236,1.0,211A-3,Rhodotorula mucilaginosa
TFCN_212C-2,C_26,24.23208753,1.0,212C-2,Rhodotorula mucilaginosa
TFCN_213-6-2,C_104,24.18698406,2.0,213-6-2,Rhodotorula mucilaginosa
TFCN_213-6-4,C_131,24.51810133,2.0,213-6-4,Rhodotorula mucilaginosa
TFCN_222A-2,C_122,26.55615047,2.0,222A-2,Rhodotorula sp. clade I
TFCN_22C-4,C_56,24.28472686,1.0,22C-4,Rhodotorula mucilaginosa
TFCN_25-0-2E332-1,C_115,23.55262525,2.0,25-0-2E332-1,Rhodotorula mucilaginosa
TFCN_25-0-2E333-1,C_217,27.24116449,3.0,25-0-2E333-1,Rhodotorula mucilaginosa
TFCN_25-0-2E333-5,C_153,23.49843205,2.0,25-0-2E333-5,Rhodotorula mucilaginosa
TFCN_25-0-2E333-7,C_129,22.82214379,2.0,25-0-2E333-7,Rhodotorula mucilaginosa
TFCN_25-0-2E333-9,C_116,19.66452679,2.0,25-0-2E333-9,Rhodotorula mucilaginosa
TFCN_25-0-2E334-1,C_218,23.67678758,3.0,25-0-2E334-1,Rhodotorula mucilaginosa
TFCN_25-0-2E390-1,C_27,25.88962136,1.0,25-0-2E390-1,Rhodotorula mucilaginosa
TFCN_25-325Y-1,C_60,25.92015055,1.0,25-325Y-1,Rhodotorula mucilaginosa
TFCN_25-327D-1,C_162,24.52823753,2.0,25-327D-1,Rhodotorula mucilaginosa
TFCN_25-331D-1,C_47,18.43975071,1.0,25-331D-1,Rhodotorula mucilaginosa
TFCN_25-332C-1,C_38,23.62762653,1.0,25-332C-1,Rhodotorula mucilaginosa
TFCN_25-332D-1,C_181,23.0575439,3.0,25-332D-1,Rhodotorula mucilaginosa
TFCN_25-332D-2,C_29,24.20716696,1.0,25-332D-2,Rhodotorula mucilaginosa
TFCN_25-332M-2,C_108,23.06296275,2.0,25-332M-2,Rhodotorula mucilaginosa
TFCN_25-332P-2,C_78,23.65766434,1.0,25-332P-2,Rhodotorula mucilaginosa
TFCN_25-332Y-1,C_58,23.2334282,1.0,25-332Y-1,Rhodotorula mucilaginosa
TFCN_25-333C-2,C_48,17.94539092,1.0,25-333C-2,Rhodotorula mucilaginosa
TFCN_25-333D-5,C_139,21.28161346,2.0,25-333D-5,Rhodotorula sp. clade I
TFCN_25-333P-2,C_182,21.7597577,3.0,25-333P-2,Rhodotorula mucilaginosa
TFCN_25-333P-5,C_121,22.92053482,2.0,25-333P-5,Rhodotorula paludigena
TFCN_25-333Y-10,C_86,22.51663104,1.0,25-333Y-10,Rhodotorula mucilaginosa
TFCN_25-333Y-2,C_123,15.79311168,2.0,25-333Y-2,Rhodotorula sp. clade I
TFCN_25-333Y-9,C_59,24.49523214,1.0,25-333Y-9,Rhodotorula mucilaginosa
TFCN_25-334D-3,C_51,23.50150848,1.0,25-334D-3,Rhodotorula mucilaginosa
TFCN_25-334Y-6,C_227,21.59260277,3.0,25-334Y-6,Rhodotorula mucilaginosa
TFCN_25-335C-1,C_111,19.96227607,2.0,25-335C-1,Rhodotorula diobovata
TFCN_25-335P-1,C_91,17.1437508,2.0,25-335P-1,Rhodotorula diobovata
TFCN_25-335Y-1,C_130,25.1991062,2.0,25-335Y-1,Rhodotorula mucilaginosa
TFCN_25-337M-3,C_152,23.34620228,2.0,25-337M-3,Rhodotorula mucilaginosa
TFCN_25-337Y-1,C_76,24.73746177,1.0,25-337Y-1,Rhodotorula mucilaginosa
TFCN_25-395P-1,C_18,22.33554954,1.0,25-395P-1,Rhodotorula mucilaginosa
TFCN_270H-1,C_40,24.28877732,1.0,270H-1,Rhodotorula mucilaginosa
TFCN_270H-2,C_49,21.02843845,1.0,270H-2,Rhodotorula mucilaginosa
TFCN_273H-1,C_106,21.21164228,2.0,273H-1,Rhodotorula mucilaginosa
TFCN_2M-1-4,C_30,22.34794577,1.0,2M-1-4,Rhodotorula mucilaginosa
TFCN_33A-4,C_42,18.52114955,1.0,33A-4,Rhodotorula mucilaginosa
TFCN_340-1,C_33,23.18669013,1.0,340-1,Rhodotorula mucilaginosa
TFCN_340-3,C_31,22.67611241,1.0,340-3,Rhodotorula mucilaginosa
TFCN_342-3,C_148,23.46499789,2.0,342-3,Rhodotorula mucilaginosa
TFCN_357-1,C_118,14.44814911,2.0,357-1,Rhodotorula taiwanensis
TFCN_363-1-2,C_127,22.71647793,2.0,363-1-2,Rhodotorula mucilaginosa
TFCN_3M-1-1,C_15,23.10906211,1.0,3M-1-1,Rhodotorula mucilaginosa
TFCN_404D-1,C_100,25.66596149,2.0,404D-1,Rhodotorula mucilaginosa
TFCN_43A-4,C_46,23.68053102,1.0,43A-4,Rhodotorula paludigena
TFCN_48A-15,C_37,20.63184716,1.0,48A-15,Rhodotorula paludigena
TFCN_48A-2,C_156,21.81751424,2.0,48A-2,Rhodotorula paludigena
TFCN_48D-10,C_93,20.66056655,2.0,48D-10,Rhodotorula paludigena
TFCN_4M-1-2,C_21,23.43240469,1.0,4M-1-2,Rhodotorula mucilaginosa
TFCN_4M-1-3,C_12,23.96067975,1.0,4M-1-3,Rhodotorula mucilaginosa
TFCN_4M-1-4,C_98,22.90995384,2.0,4M-1-4,Rhodotorula mucilaginosa
TFCN_4M-1-5,C_89,24.04616918,2.0,4M-1-5,Rhodotorula mucilaginosa
TFCN_54D-2,C_113,25.1830412,2.0,54D-2,Rhodotorula mucilaginosa
TFCN_7-9-2,C_44,17.87371848,1.0,7-9-2,Rhodotorula diobovata
TFCN_7-9-3,C_17,16.99804419,1.0,7-9-3,Rhodotorula diobovata
TFCN_7W-292-3,C_71,23.27111075,1.0,7W-292-3,Rhodotorula dairenensis
TFCN_86A-3,C_95,24.36816263,2.0,86A-3,Rhodotorula mucilaginosa
TFCN_86A-6,C_136,20.11131803,2.0,86A-6,Rhodotorula sphaerocarpa
TFCN_86A-8,C_149,22.70086167,2.0,86A-8,Rhodotorula sphaerocarpa
TFCN_86C-9,C_10,22.1269168,1.0,86C-9,Rhodotorula sphaerocarpa
TFCN_89D-3,C_72,22.64096084,1.0,89D-3,Rhodotorula mucilaginosa
TFCN_98A-10,C_124,21.0851418,2.0,98A-10,Rhodotorula mucilaginosa
TFCN_98A-5,C_3,25.06620526,1.0,98A-5,Rhodotorula mucilaginosa
TFCN_98C-3,C_133,23.96510638,2.0,98C-3,Rhodotorula mucilaginosa
TFCN_98C-5,C_81,23.48785269,1.0,98C-5,Rhodotorula mucilaginosa
TFCN_98C-7,C_79,22.66448246,1.0,98C-7,Rhodotorula mucilaginosa
TFCN_98C-8,C_109,23.01017548,2.0,98C-8,Rhodotorula mucilaginosa
TFCN_98D-11,C_57,25.04280379,1.0,98D-11,Rhodotorula mucilaginosa
TFCN_98D-7,C_151,25.0002092,2.0,98D-7,Rhodotorula mucilaginosa
TFCN_98D-9,C_142,24.78578375,2.0,98D-9,Rhodotorula mucilaginosa
TFCN_S22D-1,C_92,15.56565262,2.0,S22D-1,Rhodotorula taiwanensis
