SAMPLE_NAME,sample_id,mean_auc_rate,Library Plate,strain_id,species
DBVPG_10075,C_275,23.04426156,4.0,DBVPG_10075,Cystobasidium sp.
DBVPG_10348,C_302,20.48869778,4.0,DBVPG_10348,Rhodotorula sp. clade XI
DBVPG_10383,C_311,6.090803432,4.0,DBVPG_10383,Rhodotorula kratochvilovae
DBVPG_10619,C_317,23.11930936,4.0,DBVPG_10619,Rhodotorula mucilaginosa
DBVPG_10753,C_284,7.930578463,4.0,DBVPG_10753,Rhodotorula kratochvilovae
DBVPG_10780,C_293,21.50649406,4.0,DBVPG_10780,Rhodotorula mucilaginosa
DBVPG_10842,C_268,25.3874702,4.0,DBVPG_10842,Rhodotorula mucilaginosa
DBVPG_10882,C_277,19.87415163,4.0,DBVPG_10882,Rhodotorula mucilaginosa
DBVPG_10886,C_286,17.90002517,4.0,DBVPG_10886,Rhodotorula mucilaginosa
DBVPG_10937,C_295,23.11374415,4.0,DBVPG_10937,Rhodotorula mucilaginosa
DBVPG_3044,C_201,13.9927273,3.0,DBVPG_3044,Rhodotorula mucilaginosa
DBVPG_3045,C_210,20.6145797,3.0,DBVPG_3045,Rhodotorula mucilaginosa
DBVPG_3090,C_219,25.55786635,3.0,DBVPG_3090,Rhodotorula mucilaginosa
DBVPG_3235,C_228,21.31939289,3.0,DBVPG_3235,Rhodotorula mucilaginosa
DBVPG_3236,C_249,2.486686985,3.0,DBVPG_3236,Rhodotorula mucilaginosa
DBVPG_3237,C_237,24.78611094,3.0,DBVPG_3237,Rhodotorula mucilaginosa
DBVPG_3238,C_166,19.97167451,2.0,DBVPG_3238,Rhodotorula mucilaginosa
DBVPG_3239,C_175,16.91168588,2.0,DBVPG_3239,Rhodotorula mucilaginosa
DBVPG_3381,C_193,29.83526913,3.0,DBVPG_3381,Rhodotorula mucilaginosa
DBVPG_3382,C_202,26.11511933,3.0,DBVPG_3382,Rhodotorula mucilaginosa
DBVPG_3383,C_211,25.01741785,3.0,DBVPG_3383,Rhodotorula mucilaginosa
DBVPG_3384,C_220,23.70708552,3.0,DBVPG_3384,Rhodotorula mucilaginosa
DBVPG_3442,C_229,23.1692715,3.0,DBVPG_3442,Rhodotorula mucilaginosa
DBVPG_3443,C_238,23.91237763,3.0,DBVPG_3443,Rhodotorula mucilaginosa
