SAMPLE_NAME,strain_id,species,mean_auc_rate,pls_oof_pred,rf_oof_pred,norm_name,met_fraction,met_fraction_rank_residual_species,copper_auc_rank_residual_species
DBVPG_10075,DBVPG_10075,Cystobasidium sp.,23.04426156,0.030652354531950754,-0.016249418154813476,DBVPG10075,0.0206,1.5063505998114124e-12,-1.7479351299698465e-12
DBVPG_10348,DBVPG_10348,Rhodotorula sp. clade XI,20.48869778,-0.4587674124090897,0.0270763179331179,DBVPG10348,0.0161,3.694822225952521e-13,-44.99999999999994
DBVPG_10383,DBVPG_10383,Rhodotorula kratochvilovae,6.090803432,-0.22786685626786737,-0.174504957078267,DBVPG10383,0.0156,-3.1263880373444413e-13,-1.3333333333336697
DBVPG_10619,DBVPG_10619,Rhodotorula mucilaginosa,23.11930936,-0.2099434495063514,-0.08338974660938905,DBVPG10619,0.0166,-61.358247422680165,-25.448453608247377
DBVPG_10753,DBVPG_10753,Rhodotorula kratochvilovae,7.930578463,0.0946620172306165,0.24894841449507424,DBVPG10753,0.0156,-3.1263880373444413e-13,1.6666666666663303
DBVPG_10780,DBVPG_10780,Rhodotorula mucilaginosa,21.50649406,0.2583619537682675,0.06067764941876433,DBVPG10780,0.0167,37.64175257731984,-79.44845360824738
DBVPG_10842,DBVPG_10842,Rhodotorula mucilaginosa,25.3874702,-0.6247680681331453,-0.5360421538793022,DBVPG10842,0.0167,37.64175257731984,72.55154639175262
DBVPG_10882,DBVPG_10882,Rhodotorula mucilaginosa,19.87415163,-0.7451739133588351,0.28840540201502396,DBVPG10882,0.0167,37.64175257731984,-104.44845360824738
DBVPG_10886,DBVPG_10886,Rhodotorula mucilaginosa,17.90002517,-0.10751021464379426,0.21703068153175528,DBVPG10886,0.0167,37.64175257731984,-120.44845360824738
DBVPG_10937,DBVPG_10937,Rhodotorula mucilaginosa,23.11374415,0.574555520890337,0.03411640178749797,DBVPG10937,0.0166,-61.358247422680165,-26.448453608247377
DBVPG_3044,DBVPG_3044,Rhodotorula mucilaginosa,13.9927273,0.4909275694508368,0.11224358099881847,DBVPG3044,0.0167,37.64175257731984,-134.44845360824738
DBVPG_3090,DBVPG_3090,Rhodotorula mucilaginosa,25.55786635,0.33302460612588286,-0.013575203502587195,DBVPG3090,0.0167,37.64175257731984,79.55154639175262
DBVPG_3235,DBVPG_3235,Rhodotorula mucilaginosa,21.31939289,0.06841202626306148,0.1107558440031688,DBVPG3235,0.0167,37.64175257731984,-83.44845360824738
DBVPG_3236,DBVPG_3236,Rhodotorula mucilaginosa,2.486686985,0.33196567030593055,-0.0942236453365836,DBVPG3236,0.0167,37.64175257731984,-142.44845360824738
DBVPG_3237,DBVPG_3237,Rhodotorula mucilaginosa,24.78611094,-1.0878239945000847,-0.01252421720860629,DBVPG3237,0.0167,37.64175257731984,48.55154639175262
DBVPG_3238,DBVPG_3238,Rhodotorula mucilaginosa,19.97167451,-0.2959101952673518,0.04380294188730562,DBVPG3238,0.0166,-61.358247422680165,-101.44845360824738
DBVPG_3381,DBVPG_3381,Rhodotorula mucilaginosa,29.83526913,-0.1290118231479956,-0.05134162234068452,DBVPG3381,0.0166,-61.358247422680165,107.55154639175262
DBVPG_3382,DBVPG_3382,Rhodotorula mucilaginosa,26.11511933,0.4504912837234392,0.14470903059081375,DBVPG3382,0.0166,-61.358247422680165,89.55154639175262
